constructorResultsId,raceId,constructorId,points,date,constructor_results_rownum
1,18,1,14.0,2008-03-16 04:30:00,constructor_results_1
2,18,2,8.0,2008-03-16 04:30:00,constructor_results_2
3,18,3,9.0,2008-03-16 04:30:00,constructor_results_3
4,18,4,5.0,2008-03-16 04:30:00,constructor_results_4
5,18,5,2.0,2008-03-16 04:30:00,constructor_results_5
6,18,6,1.0,2008-03-16 04:30:00,constructor_results_6
7,18,7,0.0,2008-03-16 04:30:00,constructor_results_7
8,18,8,0.0,2008-03-16 04:30:00,constructor_results_8
9,18,9,0.0,2008-03-16 04:30:00,constructor_results_9
10,18,10,0.0,2008-03-16 04:30:00,constructor_results_10
11,18,11,0.0,2008-03-16 04:30:00,constructor_results_11
12,19,6,10.0,2008-03-23 07:00:00,constructor_results_12
13,19,2,11.0,2008-03-23 07:00:00,constructor_results_13
14,19,1,10.0,2008-03-23 07:00:00,constructor_results_14
15,19,7,5.0,2008-03-23 07:00:00,constructor_results_15
16,19,9,2.0,2008-03-23 07:00:00,constructor_results_16
17,19,4,1.0,2008-03-23 07:00:00,constructor_results_17
18,19,11,0.0,2008-03-23 07:00:00,constructor_results_18
19,19,10,0.0,2008-03-23 07:00:00,constructor_results_19
20,19,3,0.0,2008-03-23 07:00:00,constructor_results_20
21,19,8,0.0,2008-03-23 07:00:00,constructor_results_21
22,19,5,0.0,2008-03-23 07:00:00,constructor_results_22
23,20,6,18.0,2008-04-06 11:30:00,constructor_results_23
24,20,2,11.0,2008-04-06 11:30:00,constructor_results_24
25,20,1,4.0,2008-04-06 11:30:00,constructor_results_25
26,20,7,3.0,2008-04-06 11:30:00,constructor_results_26
27,20,9,2.0,2008-04-06 11:30:00,constructor_results_27
28,20,3,1.0,2008-04-06 11:30:00,constructor_results_28
29,20,4,0.0,2008-04-06 11:30:00,constructor_results_29
30,20,11,0.0,2008-04-06 11:30:00,constructor_results_30
31,20,10,0.0,2008-04-06 11:30:00,constructor_results_31
32,20,5,0.0,2008-04-06 11:30:00,constructor_results_32
33,20,8,0.0,2008-04-06 11:30:00,constructor_results_33
34,21,6,18.0,2008-04-27 12:00:00,constructor_results_34
35,21,1,6.0,2008-04-27 12:00:00,constructor_results_35
36,21,2,5.0,2008-04-27 12:00:00,constructor_results_36
37,21,9,4.0,2008-04-27 12:00:00,constructor_results_37
38,21,11,3.0,2008-04-27 12:00:00,constructor_results_38
39,21,3,2.0,2008-04-27 12:00:00,constructor_results_39
40,21,7,1.0,2008-04-27 12:00:00,constructor_results_40
41,21,10,0.0,2008-04-27 12:00:00,constructor_results_41
42,21,8,0.0,2008-04-27 12:00:00,constructor_results_42
43,21,4,0.0,2008-04-27 12:00:00,constructor_results_43
44,21,5,0.0,2008-04-27 12:00:00,constructor_results_44
45,22,6,16.0,2008-05-11 12:00:00,constructor_results_45
46,22,1,8.0,2008-05-11 12:00:00,constructor_results_46
47,22,2,9.0,2008-05-11 12:00:00,constructor_results_47
48,22,4,3.0,2008-05-11 12:00:00,constructor_results_48
49,22,9,2.0,2008-05-11 12:00:00,constructor_results_49
50,22,3,1.0,2008-05-11 12:00:00,constructor_results_50
51,22,7,0.0,2008-05-11 12:00:00,constructor_results_51
52,22,11,0.0,2008-05-11 12:00:00,constructor_results_52
53,22,10,0.0,2008-05-11 12:00:00,constructor_results_53
54,22,5,0.0,2008-05-11 12:00:00,constructor_results_54
55,23,1,11.0,2008-05-25 12:00:00,constructor_results_55
56,23,2,8.0,2008-05-25 12:00:00,constructor_results_56
57,23,6,6.0,2008-05-25 12:00:00,constructor_results_57
58,23,9,5.0,2008-05-25 12:00:00,constructor_results_58
59,23,5,4.0,2008-05-25 12:00:00,constructor_results_59
60,23,11,3.0,2008-05-25 12:00:00,constructor_results_60
61,23,3,2.0,2008-05-25 12:00:00,constructor_results_61
62,23,4,0.0,2008-05-25 12:00:00,constructor_results_62
63,23,7,0.0,2008-05-25 12:00:00,constructor_results_63
64,23,10,0.0,2008-05-25 12:00:00,constructor_results_64
65,24,2,18.0,2008-06-08 17:00:00,constructor_results_65
66,24,9,6.0,2008-06-08 17:00:00,constructor_results_66
67,24,7,8.0,2008-06-08 17:00:00,constructor_results_67
68,24,6,4.0,2008-06-08 17:00:00,constructor_results_68
69,24,11,2.0,2008-06-08 17:00:00,constructor_results_69
70,24,5,1.0,2008-06-08 17:00:00,constructor_results_70
71,24,1,0.0,2008-06-08 17:00:00,constructor_results_71
72,24,3,0.0,2008-06-08 17:00:00,constructor_results_72
