constructorStandingsId,raceId,constructorId,points,position,wins,date,constructor_standings_rownum
1,18,1,14.0,1,1,2008-03-16 04:30:00,constructor_standings_1
2,18,2,8.0,3,0,2008-03-16 04:30:00,constructor_standings_2
3,18,3,9.0,2,0,2008-03-16 04:30:00,constructor_standings_3
4,18,4,5.0,4,0,2008-03-16 04:30:00,constructor_standings_4
5,18,5,2.0,5,0,2008-03-16 04:30:00,constructor_standings_5
6,18,6,1.0,6,0,2008-03-16 04:30:00,constructor_standings_6
7,19,1,24.0,1,1,2008-03-23 07:00:00,constructor_standings_7
8,19,2,19.0,2,0,2008-03-23 07:00:00,constructor_standings_8
9,19,3,9.0,4,0,2008-03-23 07:00:00,constructor_standings_9
10,19,4,6.0,5,0,2008-03-23 07:00:00,constructor_standings_10
11,19,5,2.0,8,0,2008-03-23 07:00:00,constructor_standings_11
12,19,6,11.0,3,1,2008-03-23 07:00:00,constructor_standings_12
13,19,7,5.0,6,0,2008-03-23 07:00:00,constructor_standings_13
14,19,9,2.0,7,0,2008-03-23 07:00:00,constructor_standings_14
15,19,11,0.0,9,0,2008-03-23 07:00:00,constructor_standings_15
16,19,10,0.0,10,0,2008-03-23 07:00:00,constructor_standings_16
17,19,8,0.0,11,0,2008-03-23 07:00:00,constructor_standings_17
18,20,1,28.0,3,1,2008-04-06 11:30:00,constructor_standings_18
19,20,2,30.0,1,0,2008-04-06 11:30:00,constructor_standings_19
20,20,3,10.0,4,0,2008-04-06 11:30:00,constructor_standings_20
21,20,4,6.0,6,0,2008-04-06 11:30:00,constructor_standings_21
22,20,5,2.0,8,0,2008-04-06 11:30:00,constructor_standings_22
23,20,6,29.0,2,2,2008-04-06 11:30:00,constructor_standings_23
24,20,7,8.0,5,0,2008-04-06 11:30:00,constructor_standings_24
25,20,9,4.0,7,0,2008-04-06 11:30:00,constructor_standings_25
26,20,11,0.0,9,0,2008-04-06 11:30:00,constructor_standings_26
27,20,10,0.0,10,0,2008-04-06 11:30:00,constructor_standings_27
28,20,8,0.0,11,0,2008-04-06 11:30:00,constructor_standings_28
29,21,1,34.0,3,1,2008-04-27 12:00:00,constructor_standings_29
30,21,2,35.0,2,0,2008-04-27 12:00:00,constructor_standings_30
31,21,3,12.0,4,0,2008-04-27 12:00:00,constructor_standings_31
32,21,4,6.0,7,0,2008-04-27 12:00:00,constructor_standings_32
33,21,5,2.0,9,0,2008-04-27 12:00:00,constructor_standings_33
34,21,6,47.0,1,3,2008-04-27 12:00:00,constructor_standings_34
35,21,7,9.0,5,0,2008-04-27 12:00:00,constructor_standings_35
36,21,9,8.0,6,0,2008-04-27 12:00:00,constructor_standings_36
37,21,11,3.0,8,0,2008-04-27 12:00:00,constructor_standings_37
38,21,10,0.0,10,0,2008-04-27 12:00:00,constructor_standings_38
39,21,8,0.0,11,0,2008-04-27 12:00:00,constructor_standings_39
40,22,1,42.0,3,1,2008-05-11 12:00:00,constructor_standings_40
41,22,2,44.0,2,0,2008-05-11 12:00:00,constructor_standings_41
42,22,3,13.0,4,0,2008-05-11 12:00:00,constructor_standings_42
43,22,4,9.0,7,0,2008-05-11 12:00:00,constructor_standings_43
44,22,5,2.0,9,0,2008-05-11 12:00:00,constructor_standings_44
45,22,6,63.0,1,4,2008-05-11 12:00:00,constructor_standings_45
46,22,7,9.0,6,0,2008-05-11 12:00:00,constructor_standings_46
47,22,9,10.0,5,0,2008-05-11 12:00:00,constructor_standings_47
48,22,11,3.0,8,0,2008-05-11 12:00:00,constructor_standings_48
49,22,10,0.0,10,0,2008-05-11 12:00:00,constructor_standings_49
50,22,8,0.0,11,0,2008-05-11 12:00:00,constructor_standings_50
51,23,1,53.0,2,2,2008-05-25 12:00:00,constructor_standings_51
52,23,2,52.0,3,0,2008-05-25 12:00:00,constructor_standings_52
53,23,3,15.0,4,0,2008-05-25 12:00:00,constructor_standings_53
54,23,4,9.0,7,0,2008-05-25 12:00:00,constructor_standings_54
55,23,5,6.0,8,0,2008-05-25 12:00:00,constructor_standings_55
56,23,6,69.0,1,4,2008-05-25 12:00:00,constructor_standings_56
57,23,7,9.0,6,0,2008-05-25 12:00:00,constructor_standings_57
58,23,9,15.0,5,0,2008-05-25 12:00:00,constructor_standings_58
59,23,11,6.0,9,0,2008-05-25 12:00:00,constructor_standings_59
60,23,10,0.0,10,0,2008-05-25 12:00:00,constructor_standings_60
61,23,8,0.0,11,0,2008-05-25 12:00:00,constructor_standings_61
62,24,1,53.0,3,2,2008-06-08 17:00:00,constructor_standings_62
63,24,2,70.0,2,1,2008-06-08 17:00:00,constructor_standings_63
64,24,3,15.0,6,0,2008-06-08 17:00:00,constructor_standings_64
65,24,4,9.0,7,0,2008-06-08 17:00:00,constructor_standings_65
66,24,5,7.0,9,0,2008-06-08 17:00:00,constructor_standings_66
67,24,6,73.0,1,4,2008-06-08 17:00:00,constructor_standings_67
68,24,7,17.0,5,0,2008-06-08 17:00:00,constructor_standings_68
69,24,9,21.0,4,0,2008-06-08 17:00:00,constructor_standings_69
70,24,11,8.0,8,0,2008-06-08 17:00:00,constructor_standings_70
71,24,10,0.0,10,0,2008-06-08 17:00:00,constructor_standings_71
72,24,8,0.0,11,0,2008-06-08 17:00:00,constructor_standings_72
73,25,1,58.0,3,2,2008-06-22 12:00:00,constructor_standings_73
74,25,2,74.0,2,1,2008-06-22 12:00:00,constructor_standings_74
75,25,3,15.0,6,0,2008-06-22 12:00:00,constructor_standings_75
76,25,4,12.0,7,0,2008-06-22 12:00:00,constructor_standings_76
77,25,5,7.0,9,0,2008-06-22 12:00:00,constructor_standings_77
78,25,6,91.0,1,5,2008-06-22 12:00:00,constructor_standings_78
79,25,7,23.0,5,0,2008-06-22 12:00:00,constructor_standings_79
80,25,9,24.0,4,0,2008-06-22 12:00:00,constructor_standings_80
81,25,11,8.0,8,0,2008-06-22 12:00:00,constructor_standings_81
82,25,10,0.0,10,0,2008-06-22 12:00:00,constructor_standings_82
83,25,8,0.0,11,0,2008-06-22 12:00:00,constructor_standings_83
84,26,1,72.0,3,3,2008-07-06 12:00:00,constructor_standings_84
85,26,2,82.0,2,1,2008-07-06 12:00:00,constructor_standings_85
86,26,3,16.0,6,0,2008-07-06 12:00:00,constructor_standings_86
87,26,4,15.0,7,0,2008-07-06 12:00:00,constructor_standings_87
88,26,5,7.0,9,0,2008-07-06 12:00:00,constructor_standings_88
89,26,6,96.0,1,5,2008-07-06 12:00:00,constructor_standings_89
90,26,7,25.0,4,0,2008-07-06 12:00:00,constructor_standings_90
91,26,9,24.0,5,0,2008-07-06 12:00:00,constructor_standings_91
92,26,11,14.0,8,0,2008-07-06 12:00:00,constructor_standings_92
93,26,10,0.0,10,0,2008-07-06 12:00:00,constructor_standings_93
94,26,8,0.0,11,0,2008-07-06 12:00:00,constructor_standings_94
95,27,1,86.0,3,4,2008-07-20 12:00:00,constructor_standings_95
96,27,2,89.0,2,1,2008-07-20 12:00:00,constructor_standings_96
97,27,3,16.0,7,0,2008-07-20 12:00:00,constructor_standings_97
98,27,4,23.0,6,0,2008-07-20 12:00:00,constructor_standings_98
99,27,5,8.0,9,0,2008-07-20 12:00:00,constructor_standings_99
100,27,6,105.0,1,5,2008-07-20 12:00:00,constructor_standings_100
101,27,7,25.0,4,0,2008-07-20 12:00:00,constructor_standings_101
102,27,9,24.0,5,0,2008-07-20 12:00:00,constructor_standings_102
103,27,11,14.0,8,0,2008-07-20 12:00:00,constructor_standings_103
104,27,10,0.0,10,0,2008-07-20 12:00:00,constructor_standings_104
105,27,8,0.0,11,0,2008-07-20 12:00:00,constructor_standings_105
106,28,1,100.0,2,5,2008-08-03 12:00:00,constructor_standings_106
107,28,2,90.0,3,1,2008-08-03 12:00:00,constructor_standings_107
108,28,3,16.0,7,0,2008-08-03 12:00:00,constructor_standings_108
109,28,4,31.0,5,0,2008-08-03 12:00:00,constructor_standings_109
110,28,5,8.0,9,0,2008-08-03 12:00:00,constructor_standings_110
111,28,6,111.0,1,5,2008-08-03 12:00:00,constructor_standings_111
112,28,7,35.0,4,0,2008-08-03 12:00:00,constructor_standings_112
113,28,9,24.0,6,0,2008-08-03 12:00:00,constructor_standings_113
114,28,11,14.0,8,0,2008-08-03 12:00:00,constructor_standings_114
115,28,10,0.0,10,0,2008-08-03 12:00:00,constructor_standings_115
116,28,8,0.0,11,0,2008-08-03 12:00:00,constructor_standings_116
117,29,1,113.0,2,5,2008-08-24 12:00:00,constructor_standings_117
118,29,2,96.0,3,1,2008-08-24 12:00:00,constructor_standings_118
119,29,3,17.0,7,0,2008-08-24 12:00:00,constructor_standings_119
120,29,4,31.0,5,0,2008-08-24 12:00:00,constructor_standings_120
121,29,5,11.0,9,0,2008-08-24 12:00:00,constructor_standings_121
122,29,6,121.0,1,6,2008-08-24 12:00:00,constructor_standings_122
123,29,7,41.0,4,0,2008-08-24 12:00:00,constructor_standings_123
124,29,9,24.0,6,0,2008-08-24 12:00:00,constructor_standings_124
125,29,11,14.0,8,0,2008-08-24 12:00:00,constructor_standings_125
126,29,10,0.0,10,0,2008-08-24 12:00:00,constructor_standings_126
127,29,8,0.0,11,0,2008-08-24 12:00:00,constructor_standings_127
128,30,1,119.0,2,5,2008-09-07 12:00:00,constructor_standings_128
129,30,2,107.0,3,1,2008-09-07 12:00:00,constructor_standings_129
130,30,3,17.0,7,0,2008-09-07 12:00:00,constructor_standings_130
131,30,4,36.0,5,0,2008-09-07 12:00:00,constructor_standings_131
132,30,5,17.0,8,0,2008-09-07 12:00:00,constructor_standings_132
133,30,6,131.0,1,7,2008-09-07 12:00:00,constructor_standings_133
134,30,7,41.0,4,0,2008-09-07 12:00:00,constructor_standings_134
135,30,9,25.0,6,0,2008-09-07 12:00:00,constructor_standings_135
136,30,11,14.0,9,0,2008-09-07 12:00:00,constructor_standings_136
137,30,10,0.0,10,0,2008-09-07 12:00:00,constructor_standings_137
138,30,8,0.0,11,0,2008-09-07 12:00:00,constructor_standings_138
139,31,1,129.0,2,5,2008-09-14 12:00:00,constructor_standings_139
140,31,2,117.0,3,1,2008-09-14 12:00:00,constructor_standings_140
141,31,3,17.0,8,0,2008-09-14 12:00:00,constructor_standings_141
142,31,4,41.0,5,0,2008-09-14 12:00:00,constructor_standings_142
143,31,5,27.0,6,1,2008-09-14 12:00:00,constructor_standings_143
144,31,6,134.0,1,7,2008-09-14 12:00:00,constructor_standings_144
145,31,7,41.0,4,0,2008-09-14 12:00:00,constructor_standings_145
146,31,9,26.0,7,0,2008-09-14 12:00:00,constructor_standings_146
147,31,11,14.0,9,0,2008-09-14 12:00:00,constructor_standings_147
148,31,10,0.0,10,0,2008-09-14 12:00:00,constructor_standings_148
149,31,8,0.0,11,0,2008-09-14 12:00:00,constructor_standings_149
150,32,1,135.0,1,5,2008-09-28 12:00:00,constructor_standings_150
151,32,2,120.0,3,1,2008-09-28 12:00:00,constructor_standings_151
152,32,3,26.0,8,0,2008-09-28 12:00:00,constructor_standings_152
153,32,4,51.0,4,1,2008-09-28 12:00:00,constructor_standings_153
154,32,5,31.0,6,1,2008-09-28 12:00:00,constructor_standings_154
155,32,6,134.0,2,7,2008-09-28 12:00:00,constructor_standings_155
156,32,7,46.0,5,0,2008-09-28 12:00:00,constructor_standings_156
157,32,9,28.0,7,0,2008-09-28 12:00:00,constructor_standings_157
158,32,11,14.0,9,0,2008-09-28 12:00:00,constructor_standings_158
159,32,10,0.0,10,0,2008-09-28 12:00:00,constructor_standings_159
160,32,8,0.0,11,0,2008-09-28 12:00:00,constructor_standings_160
161,33,1,135.0,2,5,2008-10-12 04:30:00,constructor_standings_161
162,33,2,128.0,3,1,2008-10-12 04:30:00,constructor_standings_162
163,33,3,26.0,8,0,2008-10-12 04:30:00,constructor_standings_163
164,33,4,66.0,4,2,2008-10-12 04:30:00,constructor_standings_164
165,33,5,34.0,6,1,2008-10-12 04:30:00,constructor_standings_165
166,33,6,142.0,1,7,2008-10-12 04:30:00,constructor_standings_166
167,33,7,50.0,5,0,2008-10-12 04:30:00,constructor_standings_167
168,33,9,29.0,7,0,2008-10-12 04:30:00,constructor_standings_168
169,33,11,14.0,9,0,2008-10-12 04:30:00,constructor_standings_169
170,33,10,0.0,10,0,2008-10-12 04:30:00,constructor_standings_170
