constructorId,constructorRef,name,nationality,constructors_rownum
1,mclaren,McLaren,British,constructors_1
2,bmw_sauber,BMW Sauber,German,constructors_2
3,williams,Williams,British,constructors_3
4,renault,Renault,French,constructors_4
5,toro_rosso,Toro Rosso,Italian,constructors_5
6,ferrari,Ferrari,Italian,constructors_6
7,toyota,Toyota,Japanese,constructors_7
8,super_aguri,Super Aguri,Japanese,constructors_8
9,red_bull,Red Bull,Austrian,constructors_9
10,force_india,Force India,Indian,constructors_10
11,honda,Honda,Japanese,constructors_11
12,spyker,Spyker,Dutch,constructors_12
13,mf1,MF1,Russian,constructors_13
14,spyker_mf1,Spyker MF1,Dutch,constructors_14
15,sauber,Sauber,Swiss,constructors_15
16,bar,BAR,British,constructors_16
17,jordan,Jordan,Irish,constructors_17
18,minardi,Minardi,Italian,constructors_18
19,jaguar,Jaguar,British,constructors_19
20,prost,Prost,French,constructors_20
21,arrows,Arrows,British,constructors_21
22,benetton,Benetton,Italian,constructors_22
23,brawn,Brawn,British,constructors_23
24,stewart,Stewart,British,constructors_24
25,tyrrell,Tyrrell,British,constructors_25
26,lola,Lola,British,constructors_26
27,ligier,Ligier,French,constructors_27
28,forti,Forti,Italian,constructors_28
29,footwork,Footwork,British,constructors_29
30,pacific,Pacific,British,constructors_30
31,simtek,Simtek,British,constructors_31
32,team_lotus,Team Lotus,British,constructors_32
33,larrousse,Larrousse,French,constructors_33
34,brabham,Brabham,British,constructors_34
35,dallara,Dallara,Italian,constructors_35
36,fondmetal,Fondmetal,Italian,constructors_36
37,march,March,British,constructors_37
38,moda,Andrea Moda,Italian,constructors_38
39,ags,AGS,French,constructors_39
40,lambo,Lambo,Italian,constructors_40
41,leyton,Leyton House,British,constructors_41
42,coloni,Coloni,Italian,constructors_42
44,eurobrun,Euro Brun,Italian,constructors_43
45,osella,Osella,Italian,constructors_44
46,onyx,Onyx,British,constructors_45
47,life,Life,Italian,constructors_46
48,rial,Rial,German,constructors_47
49,zakspeed,Zakspeed,German,constructors_48
50,ram,RAM,British,constructors_49
51,alfa,Alfa Romeo,Swiss,constructors_50
52,spirit,Spirit,British,constructors_51
53,toleman,Toleman,British,constructors_52
54,ats,ATS,Italian,constructors_53
55,theodore,Theodore,Hong Kong,constructors_54
56,fittipaldi,Fittipaldi,Brazilian,constructors_55
57,ensign,Ensign,British,constructors_56
58,shadow,Shadow,British,constructors_57
59,wolf,Wolf,Canadian,constructors_58
60,merzario,Merzario,Italian,constructors_59
61,kauhsen,Kauhsen,German,constructors_60
62,rebaque,Rebaque,Mexican,constructors_61
63,surtees,Surtees,British,constructors_62
64,hesketh,Hesketh,British,constructors_63
65,martini,Martini,French,constructors_64
66,brm,BRM,British,constructors_65
67,penske,Penske,American,constructors_66
68,lec,LEC,British,constructors_67
69,mcguire,McGuire,Australian,constructors_68
70,boro,Boro,Dutch,constructors_69
71,apollon,Apollon,Swiss,constructors_70
72,kojima,Kojima,Japanese,constructors_71
73,parnelli,Parnelli,American,constructors_72
74,maki,Maki,Japanese,constructors_73
75,hill,Embassy Hill,British,constructors_74
76,lyncar,Lyncar,British,constructors_75
77,trojan,Trojan,British,constructors_76
78,amon,Amon,New Zealander,constructors_77
79,token,Token,British,constructors_78
80,iso_marlboro,Iso Marlboro,British,constructors_79
81,tecno,Tecno,Italian,constructors_80
82,matra,Matra,French,constructors_81
83,politoys,Politoys,British,constructors_82
84,connew,Connew,British,constructors_83
85,bellasi,Bellasi,Swiss,constructors_84
86,tomaso,De Tomaso,Italian,constructors_85
87,cooper,Cooper,British,constructors_86
88,eagle,Eagle,American,constructors_87
89,lds,LDS,South African,constructors_88
90,protos,Protos,British,constructors_89
91,shannon,Shannon,British,constructors_90
92,scirocco,Scirocco,British,constructors_91
93,re,RE,Rhodesian,constructors_92
94,brp,BRP,British,constructors_93
95,porsche,Porsche,German,constructors_94
96,derrington,Derrington,British,constructors_95
97,gilby,Gilby,British,constructors_96
98,stebro,Stebro,Canadian,constructors_97
99,emeryson,Emeryson,British,constructors_98
100,enb,ENB,Belgian,constructors_99
101,jbw,JBW,British,constructors_100
102,ferguson,Ferguson,British,constructors_101
103,mbm,MBM,Swiss,constructors_102
104,behra-porsche,Behra-Porsche,Italian,constructors_103
105,maserati,Maserati,Italian,constructors_104
106,scarab,Scarab,American,constructors_105
107,watson,Watson,American,constructors_106
108,epperly,Epperly,American,constructors_107
109,phillips,Phillips,American,constructors_108
110,lesovsky,Lesovsky,American,constructors_109
111,trevis,Trevis,American,constructors_110
112,meskowski,Meskowski,American,constructors_111
113,kurtis_kraft,Kurtis Kraft,American,constructors_112
114,kuzma,Kuzma,American,constructors_113
115,vhristensen,Christensen,American,constructors_114
116,ewing,Ewing,American,constructors_115
117,aston_martin,Aston Martin,British,constructors_116
118,vanwall,Vanwall,British,constructors_117
119,moore,Moore,American,constructors_118
120,dunn,Dunn,American,constructors_119
121,elder,Elder,American,constructors_120
