raceId,year,round,circuitId,name,date,time,races_rownum
1,2009,1,1,Australian Grand Prix,2009-03-29 06:00:00,06:00:00,races_1
2,2009,2,2,Malaysian Grand Prix,2009-04-05 09:00:00,09:00:00,races_2
3,2009,3,17,Chinese Grand Prix,2009-04-19 07:00:00,07:00:00,races_3
4,2009,4,3,Bahrain Grand Prix,2009-04-26 12:00:00,12:00:00,races_4
5,2009,5,4,Spanish Grand Prix,2009-05-10 12:00:00,12:00:00,races_5
6,2009,6,6,Monaco Grand Prix,2009-05-24 12:00:00,12:00:00,races_6
7,2009,7,5,Turkish Grand Prix,2009-06-07 12:00:00,12:00:00,races_7
8,2009,8,9,British Grand Prix,2009-06-21 12:00:00,12:00:00,races_8
9,2009,9,20,German Grand Prix,2009-07-12 12:00:00,12:00:00,races_9
10,2009,10,11,Hungarian Grand Prix,2009-07-26 12:00:00,12:00:00,races_10
11,2009,11,12,European Grand Prix,2009-08-23 12:00:00,12:00:00,races_11
12,2009,12,13,Belgian Grand Prix,2009-08-30 12:00:00,12:00:00,races_12
13,2009,13,14,Italian Grand Prix,2009-09-13 12:00:00,12:00:00,races_13
14,2009,14,15,Singapore Grand Prix,2009-09-27 12:00:00,12:00:00,races_14
15,2009,15,22,Japanese Grand Prix,2009-10-04 05:00:00,05:00:00,races_15
16,2009,16,18,Brazilian Grand Prix,2009-10-18 16:00:00,16:00:00,races_16
17,2009,17,24,Abu Dhabi Grand Prix,2009-11-01 11:00:00,11:00:00,races_17
18,2008,1,1,Australian Grand Prix,2008-03-16 04:30:00,04:30:00,races_18
19,2008,2,2,Malaysian Grand Prix,2008-03-23 07:00:00,07:00:00,races_19
20,2008,3,3,Bahrain Grand Prix,2008-04-06 11:30:00,11:30:00,races_20
21,2008,4,4,Spanish Grand Prix,2008-04-27 12:00:00,12:00:00,races_21
22,2008,5,5,Turkish Grand Prix,2008-05-11 12:00:00,12:00:00,races_22
23,2008,6,6,Monaco Grand Prix,2008-05-25 12:00:00,12:00:00,races_23
24,2008,7,7,Canadian Grand Prix,2008-06-08 17:00:00,17:00:00,races_24
