resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,milliseconds,fastestLap,rank,statusId,date,results_rownum
1,18,1,1,22.0,1,1.0,1,10.0,58,5690616.0,39.0,2.0,1,2008-03-16 04:30:00,results_1
2,18,2,2,3.0,5,2.0,2,8.0,58,5696094.0,41.0,3.0,1,2008-03-16 04:30:00,results_2
3,18,3,3,7.0,7,3.0,3,6.0,58,5698779.0,41.0,5.0,1,2008-03-16 04:30:00,results_3
4,18,4,4,5.0,11,4.0,4,5.0,58,5707797.0,58.0,7.0,1,2008-03-16 04:30:00,results_4
5,18,5,1,23.0,3,5.0,5,4.0,58,5708630.0,43.0,1.0,1,2008-03-16 04:30:00,results_5
6,18,6,3,8.0,13,6.0,6,3.0,57,,50.0,14.0,11,2008-03-16 04:30:00,results_6
7,18,7,5,14.0,17,7.0,7,2.0,55,,22.0,12.0,5,2008-03-16 04:30:00,results_7
8,18,8,6,1.0,15,8.0,8,1.0,53,,20.0,4.0,5,2008-03-16 04:30:00,results_8
9,18,9,2,4.0,2,,9,0.0,47,,15.0,9.0,4,2008-03-16 04:30:00,results_9
10,18,10,7,12.0,18,,10,0.0,43,,23.0,13.0,3,2008-03-16 04:30:00,results_10
11,18,11,8,18.0,19,,11,0.0,32,,24.0,15.0,7,2008-03-16 04:30:00,results_11
12,18,12,4,6.0,20,,12,0.0,30,,20.0,16.0,8,2008-03-16 04:30:00,results_12
13,18,13,6,2.0,4,,13,0.0,29,,23.0,6.0,5,2008-03-16 04:30:00,results_13
14,18,14,9,9.0,8,,14,0.0,25,,21.0,11.0,4,2008-03-16 04:30:00,results_14
15,18,15,7,11.0,6,,15,0.0,19,,18.0,10.0,10,2008-03-16 04:30:00,results_15
16,18,16,10,20.0,22,,16,0.0,8,,8.0,17.0,9,2008-03-16 04:30:00,results_16
17,18,17,9,10.0,14,,17,0.0,0,,,,4,2008-03-16 04:30:00,results_17
18,18,18,11,16.0,12,,18,0.0,0,,,,4,2008-03-16 04:30:00,results_18
19,18,19,8,19.0,21,,19,0.0,0,,,,4,2008-03-16 04:30:00,results_19
20,18,20,5,15.0,9,,20,0.0,0,,,,4,2008-03-16 04:30:00,results_20
21,18,21,10,21.0,16,,21,0.0,0,,,,4,2008-03-16 04:30:00,results_21
22,18,22,11,17.0,10,,22,0.0,58,,44.0,8.0,2,2008-03-16 04:30:00,results_22
23,19,8,6,1.0,2,1.0,1,10.0,56,5478555.0,37.0,2.0,1,2008-03-23 07:00:00,results_23
24,19,9,2,4.0,4,2.0,2,8.0,56,5498125.0,39.0,6.0,1,2008-03-23 07:00:00,results_24
25,19,5,1,23.0,8,3.0,3,6.0,56,5517005.0,19.0,7.0,1,2008-03-23 07:00:00,results_25
26,19,15,7,11.0,3,4.0,4,5.0,56,5524387.0,53.0,8.0,1,2008-03-23 07:00:00,results_26
27,19,1,1,22.0,9,5.0,5,4.0,56,5525103.0,53.0,3.0,1,2008-03-23 07:00:00,results_27
28,19,2,2,3.0,5,6.0,6,3.0,56,5528388.0,55.0,1.0,1,2008-03-23 07:00:00,results_28
29,19,17,9,10.0,6,7.0,7,2.0,56,5546685.0,53.0,12.0,1,2008-03-23 07:00:00,results_29
30,19,4,4,5.0,7,8.0,8,1.0,56,5548596.0,40.0,10.0,1,2008-03-23 07:00:00,results_30
31,19,14,9,9.0,12,9.0,9,0.0,56,5554775.0,55.0,9.0,1,2008-03-23 07:00:00,results_31
32,19,18,11,16.0,11,10.0,10,0.0,56,5564769.0,56.0,4.0,1,2008-03-23 07:00:00,results_32
33,19,12,4,6.0,13,11.0,11,0.0,56,5570757.0,52.0,15.0,1,2008-03-23 07:00:00,results_33
34,19,21,10,21.0,17,12.0,12,0.0,55,,52.0,16.0,11,2008-03-23 07:00:00,results_34
35,19,22,11,17.0,14,13.0,13,0.0,55,,55.0,11.0,11,2008-03-23 07:00:00,results_35
36,19,3,3,7.0,16,14.0,14,0.0,55,,55.0,13.0,11,2008-03-23 07:00:00,results_36
37,19,19,8,19.0,21,15.0,15,0.0,55,,55.0,18.0,11,2008-03-23 07:00:00,results_37
38,19,11,8,18.0,19,16.0,16,0.0,54,,53.0,19.0,12,2008-03-23 07:00:00,results_38
39,19,6,3,8.0,22,17.0,17,0.0,54,,19.0,17.0,12,2008-03-23 07:00:00,results_39
40,19,20,5,15.0,15,,18,0.0,39,,37.0,14.0,5,2008-03-23 07:00:00,results_40
41,19,13,6,2.0,1,,19,0.0,30,,15.0,5.0,20,2008-03-23 07:00:00,results_41
42,19,16,10,20.0,20,,20,0.0,5,,3.0,20.0,9,2008-03-23 07:00:00,results_42
43,19,10,7,12.0,10,,21,0.0,1,,,,4,2008-03-23 07:00:00,results_43
44,19,7,5,14.0,18,,22,0.0,0,,,,20,2008-03-23 07:00:00,results_44
45,20,13,6,2.0,2,1.0,1,10.0,57,5466970.0,38.0,3.0,1,2008-04-06 11:30:00,results_45
46,20,8,6,1.0,4,2.0,2,8.0,57,5470309.0,35.0,4.0,1,2008-04-06 11:30:00,results_46
47,20,9,2,4.0,1,3.0,3,6.0,57,5471968.0,55.0,5.0,1,2008-04-06 11:30:00,results_47
48,20,2,2,3.0,6,4.0,4,5.0,57,5475379.0,48.0,2.0,1,2008-04-06 11:30:00,results_48
49,20,5,1,23.0,5,5.0,5,4.0,57,5493759.0,49.0,1.0,1,2008-04-06 11:30:00,results_49
50,20,15,7,11.0,7,6.0,6,3.0,57,5508284.0,45.0,7.0,1,2008-04-06 11:30:00,results_50
51,20,17,9,10.0,11,7.0,7,2.0,57,5512443.0,51.0,8.0,1,2008-04-06 11:30:00,results_51
52,20,3,3,7.0,8,8.0,8,1.0,57,5522859.0,57.0,6.0,1,2008-04-06 11:30:00,results_52
53,20,10,7,12.0,13,9.0,9,0.0,57,5536470.0,56.0,9.0,1,2008-04-06 11:30:00,results_53
54,20,4,4,5.0,10,10.0,10,0.0,57,5544151.0,35.0,13.0,1,2008-04-06 11:30:00,results_54
55,20,22,11,17.0,12,11.0,11,0.0,57,5544832.0,40.0,10.0,1,2008-04-06 11:30:00,results_55
56,20,21,10,21.0,18,12.0,12,0.0,56,,56.0,11.0,11,2008-04-06 11:30:00,results_56
57,20,1,1,22.0,3,13.0,13,0.0,56,,25.0,19.0,11,2008-04-06 11:30:00,results_57
58,20,6,3,8.0,16,14.0,14,0.0,56,,30.0,17.0,11,2008-04-06 11:30:00,results_58
59,20,7,5,14.0,15,15.0,15,0.0,56,,33.0,15.0,11,2008-04-06 11:30:00,results_59
60,20,19,8,19.0,21,16.0,16,0.0,56,,45.0,14.0,11,2008-04-06 11:30:00,results_60
61,20,11,8,18.0,22,17.0,17,0.0,56,,56.0,20.0,11,2008-04-06 11:30:00,results_61
62,20,14,9,9.0,17,18.0,18,0.0,56,,43.0,16.0,11,2008-04-06 11:30:00,results_62
63,20,16,10,20.0,20,19.0,19,0.0,56,,55.0,18.0,12,2008-04-06 11:30:00,results_63
64,20,12,4,6.0,14,,20,0.0,40,,31.0,12.0,6,2008-04-06 11:30:00,results_64
65,20,18,11,16.0,9,,21,0.0,19,,11.0,21.0,4,2008-04-06 11:30:00,results_65
66,20,20,5,15.0,19,,22,0.0,0,,,,5,2008-04-06 11:30:00,results_66
67,21,8,6,1.0,1,1.0,1,10.0,66,5899051.0,46.0,1.0,1,2008-04-27 12:00:00,results_67
68,21,13,6,2.0,3,2.0,2,8.0,66,5902279.0,45.0,2.0,1,2008-04-27 12:00:00,results_68
