driverStandingsId,raceId,driverId,points,position,wins,date,standings_rownum
1,18,1,10.0,1,1,2008-03-16 04:30:00,standings_1
2,18,2,8.0,2,0,2008-03-16 04:30:00,standings_2
3,18,3,6.0,3,0,2008-03-16 04:30:00,standings_3
4,18,4,5.0,4,0,2008-03-16 04:30:00,standings_4
5,18,5,4.0,5,0,2008-03-16 04:30:00,standings_5
6,18,6,3.0,6,0,2008-03-16 04:30:00,standings_6
7,18,7,2.0,7,0,2008-03-16 04:30:00,standings_7
8,18,8,1.0,8,0,2008-03-16 04:30:00,standings_8
9,19,1,14.0,1,1,2008-03-23 07:00:00,standings_9
10,19,2,11.0,3,0,2008-03-23 07:00:00,standings_10
11,19,3,6.0,6,0,2008-03-23 07:00:00,standings_11
12,19,4,6.0,7,0,2008-03-23 07:00:00,standings_12
13,19,5,10.0,4,0,2008-03-23 07:00:00,standings_13
14,19,6,3.0,9,0,2008-03-23 07:00:00,standings_14
15,19,7,2.0,10,0,2008-03-23 07:00:00,standings_15
16,19,8,11.0,2,1,2008-03-23 07:00:00,standings_16
17,19,9,8.0,5,0,2008-03-23 07:00:00,standings_17
18,19,15,5.0,8,0,2008-03-23 07:00:00,standings_18
19,19,17,2.0,11,0,2008-03-23 07:00:00,standings_19
20,19,14,0.0,12,0,2008-03-23 07:00:00,standings_20
21,19,18,0.0,13,0,2008-03-23 07:00:00,standings_21
22,19,12,0.0,14,0,2008-03-23 07:00:00,standings_22
23,19,21,0.0,15,0,2008-03-23 07:00:00,standings_23
24,19,22,0.0,16,0,2008-03-23 07:00:00,standings_24
25,19,19,0.0,17,0,2008-03-23 07:00:00,standings_25
26,19,11,0.0,18,0,2008-03-23 07:00:00,standings_26
27,20,1,14.0,3,1,2008-04-06 11:30:00,standings_27
28,20,2,16.0,2,0,2008-04-06 11:30:00,standings_28
29,20,3,7.0,8,0,2008-04-06 11:30:00,standings_29
30,20,4,6.0,9,0,2008-04-06 11:30:00,standings_30
31,20,5,14.0,5,0,2008-04-06 11:30:00,standings_31
32,20,6,3.0,11,0,2008-04-06 11:30:00,standings_32
33,20,7,2.0,12,0,2008-04-06 11:30:00,standings_33
34,20,8,19.0,1,1,2008-04-06 11:30:00,standings_34
35,20,9,14.0,4,0,2008-04-06 11:30:00,standings_35
36,20,15,8.0,7,0,2008-04-06 11:30:00,standings_36
37,20,17,4.0,10,0,2008-04-06 11:30:00,standings_37
38,20,14,0.0,13,0,2008-04-06 11:30:00,standings_38
39,20,18,0.0,15,0,2008-04-06 11:30:00,standings_39
40,20,12,0.0,17,0,2008-04-06 11:30:00,standings_40
41,20,21,0.0,18,0,2008-04-06 11:30:00,standings_41
42,20,22,0.0,16,0,2008-04-06 11:30:00,standings_42
43,20,19,0.0,19,0,2008-04-06 11:30:00,standings_43
44,20,11,0.0,20,0,2008-04-06 11:30:00,standings_44
45,20,13,10.0,6,1,2008-04-06 11:30:00,standings_45
46,20,10,0.0,14,0,2008-04-06 11:30:00,standings_46
47,20,16,0.0,21,0,2008-04-06 11:30:00,standings_47
48,21,1,20.0,2,1,2008-04-27 12:00:00,standings_48
49,21,2,16.0,5,0,2008-04-27 12:00:00,standings_49
50,21,3,7.0,9,0,2008-04-27 12:00:00,standings_50
51,21,4,6.0,10,0,2008-04-27 12:00:00,standings_51
52,21,5,14.0,6,0,2008-04-27 12:00:00,standings_52
53,21,6,5.0,11,0,2008-04-27 12:00:00,standings_53
54,21,7,2.0,13,0,2008-04-27 12:00:00,standings_54
