orders_rownum|o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment
orders_5832|23270|6338|F|254625.27|1995-03-14|5-LOW          |Clerk#000000199|0|ously unusual ideas x-
orders_6546|26144|541|O|149927.52|1995-10-27|2-HIGH         |Clerk#000000408|0|fluffily regular accoun
orders_6855|27364|2245|P|281916.71|1995-05-21|3-MEDIUM       |Clerk#000000951|0|s sleep above the regularly
orders_7185|28677|11813|O|35659.95|1997-08-12|1-URGENT       |Clerk#000000682|0|luffily pending excuse
orders_7280|29060|6097|O|40723.47|1997-04-29|3-MEDIUM       |Clerk#000000877|0|es. foxes sleep quickly alongsi
orders_7335|29283|8293|O|173728.06|1998-01-23|2-HIGH         |Clerk#000000120|0|re slyly silent accou
orders_7599|30339|9941|F|232913.56|1993-04-27|3-MEDIUM       |Clerk#000000127|0| pending, regular acc
orders_8859|35364|1366|F|231376.51|1994-12-13|1-URGENT       |Clerk#000000327|0| realms nag alongsid
orders_9368|37383|13994|O|210898.01|1995-06-15|3-MEDIUM       |Clerk#000000225|0|refully thinly final
orders_10292|41089|3316|O|54651.93|1998-07-22|2-HIGH         |Clerk#000000945|0|ackages wake furiously silent theodol
orders_10964|43776|10396|F|73838.71|1992-12-03|2-HIGH         |Clerk#000000304|0|e blithely bold the
orders_11684|46631|10654|F|201888.89|1992-03-12|4-NOT SPECIFIED|Clerk#000000599|0|en excuses sleep furiously among 
orders_12308|49127|10195|P|61795.21|1995-03-31|3-MEDIUM       |Clerk#000000536|0|e slyly special deposi
orders_12415|49570|10105|F|47642.76|1994-06-30|1-URGENT       |Clerk#000000425|0|slyly idle grouches
orders_12617|50371|10604|F|205083.40|1994-07-01|2-HIGH         |Clerk#000000616|0|ithely regular ideas. special,
orders_13194|52675|12089|O|256745.61|1995-10-11|3-MEDIUM       |Clerk#000000830|0|ronic grouches. care
orders_13548|54085|8042|O|65657.96|1995-10-08|5-LOW          |Clerk#000000864|0|ily. regular, special packa
orders_13966|55751|1732|O|109271.95|1997-12-07|3-MEDIUM       |Clerk#000000944|0|usly express instructio
orders_14065|56162|14989|P|128614.59|1995-04-26|4-NOT SPECIFIED|Clerk#000000416|0|s are blithely after the express ins
orders_14760|58945|6062|O|143216.74|1997-11-16|4-NOT SPECIFIED|Clerk#000000565|0|ans wake blithely f
orders_14945|59682|11935|O|24012.20|1996-04-27|5-LOW          |Clerk#000000650|0|ronic requests sublate. bl
orders_15247|60896|9796|F|94625.24|1995-01-24|3-MEDIUM       |Clerk#000000942|0|after the regular, 
orders_16117|64384|4610|F|305339.12|1994-11-17|5-LOW          |Clerk#000000523|0|furiously. blithely ironic pin
