part_rownum|p_partkey|p_name|p_mfgr|p_brand|p_type|p_size|p_container|p_retailprice|p_comment
part_629|628|black mint olive drab medium|Manufacturer#3           |Brand#33  |ECONOMY BRUSHED BRASS|40|LG BOX    |1528.62|sits. 
part_3166|3164|hot cyan spring smoke blanched|Manufacturer#2           |Brand#21  |LARGE PLATED COPPER|7|WRAP PKG  |1067.16|s. regular
part_4182|4180|almond light azure magenta black|Manufacturer#5           |Brand#51  |MEDIUM PLATED NICKEL|6|LG BOX    |1084.18|endin
part_4941|4939|yellow red wheat brown lime|Manufacturer#4           |Brand#43  |PROMO PLATED TIN|43|LG CAN    |1843.93| packages; 
part_7239|7237|mint pink saddle smoke orange|Manufacturer#5           |Brand#55  |SMALL PLATED TIN|14|MED DRUM  |1144.23|ake caref
part_8833|8831|hot drab peru sky misty|Manufacturer#1           |Brand#11  |PROMO BRUSHED BRASS|23|WRAP CASE |1739.83|ake car
part_10843|10841|powder pale peru ghost steel|Manufacturer#2           |Brand#22  |ECONOMY PLATED NICKEL|27|MED CAN   |1751.84|ts sl
part_11452|11450|hot ghost magenta coral cyan|Manufacturer#3           |Brand#31  |STANDARD POLISHED TIN|1|MED JAR   |1361.45|s sleep. 
part_12970|12968|dark blush azure bisque ghost|Manufacturer#1           |Brand#13  |MEDIUM ANODIZED NICKEL|4|WRAP BAG  |1880.96|nly. blithel
part_13140|13138|indian brown peach drab rosy|Manufacturer#5           |Brand#51  |PROMO BRUSHED TIN|6|LG CAN    |1051.13|sly r
part_13591|13589|pink peru grey ghost thistle|Manufacturer#4           |Brand#44  |LARGE BRUSHED TIN|50|SM BOX    |1502.58|ly am
part_13942|13940|pale cream blush red ivory|Manufacturer#5           |Brand#53  |MEDIUM POLISHED TIN|15|SM CAN    |1853.94|he sl
part_14030|14028|red sandy bisque slate sienna|Manufacturer#3           |Brand#35  |SMALL BRUSHED STEEL|24|JUMBO JAR |942.02|ual pack
part_17990|17990|rosy medium orchid blue almond|Manufacturer#2           |Brand#24  |SMALL PLATED NICKEL|37|LG JAR    |1907.99|uffily reg
part_18431|18431|turquoise deep blue pink wheat|Manufacturer#2           |Brand#24  |LARGE PLATED BRASS|34|WRAP JAR  |1349.43|ly regul
part_19179|19179|light sienna purple cyan lime|Manufacturer#1           |Brand#14  |ECONOMY BURNISHED STEEL|2|MED CASE  |1098.17|lways
part_19574|19574|pink tan dim slate blue|Manufacturer#5           |Brand#51  |PROMO PLATED NICKEL|38|LG PKG    |1493.57| nod according
part_19972|19972|ghost plum cream burnished blue|Manufacturer#2           |Brand#22  |PROMO ANODIZED COPPER|44|WRAP PACK |1891.97|xpress
part_19973|19973|blanched ghost cornsilk wheat yellow|Manufacturer#2           |Brand#21  |PROMO BRUSHED TIN|8|SM PACK   |1892.97| carefully accordin
part_19974|19974|papaya lime honeydew sienna cyan|Manufacturer#2           |Brand#25  |MEDIUM PLATED COPPER|14|WRAP DRUM |1893.97| have to ha
part_19975|19975|goldenrod royal black moccasin rosy|Manufacturer#4           |Brand#45  |LARGE ANODIZED TIN|28|SM PKG    |1894.97|o the 
part_19976|19976|peru papaya black royal magenta|Manufacturer#3           |Brand#33  |PROMO POLISHED COPPER|17|LG PKG    |1895.97|deas. care
part_19977|19977|magenta ivory steel medium misty|Manufacturer#1           |Brand#14  |PROMO ANODIZED NICKEL|29|JUMBO JAR |1896.97|r packages cajole
part_19978|19978|dark lawn blanched cyan lime|Manufacturer#5           |Brand#53  |STANDARD POLISHED STEEL|1|MED DRUM  |1897.97|y. pending
part_19979|19979|almond rosy blush green metallic|Manufacturer#5           |Brand#53  |ECONOMY BRUSHED STEEL|11|WRAP PKG  |1898.97|s. slyly ironic as
part_19980|19980|almond blue puff firebrick magenta|Manufacturer#3           |Brand#34  |ECONOMY PLATED STEEL|28|MED BOX   |1899.98|s the slyly
part_19981|19981|indian lavender maroon bisque plum|Manufacturer#2           |Brand#22  |STANDARD PLATED BRASS|31|WRAP JAR  |1900.98|zzle at the ca
part_19982|19982|misty burlywood tomato forest red|Manufacturer#1           |Brand#15  |MEDIUM POLISHED STEEL|4|SM PACK   |1901.98|yly bold foxes beli
part_19983|19983|pink peru salmon frosted chartreuse|Manufacturer#4           |Brand#45  |PROMO BURNISHED TIN|8|JUMBO BOX |1902.98|gside of 
part_19984|19984|firebrick aquamarine floral frosted thistle|Manufacturer#4           |Brand#44  |SMALL PLATED STEEL|40|LG CASE   |1903.98|ding ideas cajole sly
part_19985|19985|cornsilk thistle firebrick khaki almond|Manufacturer#5           |Brand#51  |MEDIUM BRUSHED STEEL|48|MED BOX   |1904.98|upon th
part_19986|19986|burnished gainsboro green goldenrod misty|Manufacturer#3           |Brand#35  |STANDARD BRUSHED BRASS|23|LG BOX    |1905.98|oost a
part_1|1|goldenrod lavender spring chocolate lace|Manufacturer#1           |Brand#13  |PROMO BURNISHED COPPER|7|JUMBO PKG |901.00|ly. slyly ironi
part_2|2|blush thistle blue yellow saddle|Manufacturer#1           |Brand#13  |LARGE BRUSHED BRASS|1|LG CASE   |902.00|lar accounts amo
part_3|3|spring green yellow purple cornsilk|Manufacturer#4           |Brand#42  |STANDARD POLISHED BRASS|21|WRAP CASE |903.00|egular deposits hag
part_4|4|cornflower chocolate smoke green pink|Manufacturer#3           |Brand#34  |SMALL PLATED BRASS|14|MED DRUM  |904.00|p furiously r
part_5|5|forest brown coral puff cream|Manufacturer#3           |Brand#32  |STANDARD POLISHED TIN|15|SM PKG    |905.00| wake carefully 
part_6|6|bisque cornflower lawn forest magenta|Manufacturer#2           |Brand#24  |PROMO PLATED STEEL|4|MED BAG   |906.00|sual a
part_7|7|moccasin green thistle khaki floral|Manufacturer#1           |Brand#11  |SMALL PLATED COPPER|45|SM BAG    |907.00|lyly. ex
part_8|8|misty lace thistle snow royal|Manufacturer#4           |Brand#44  |PROMO BURNISHED TIN|41|LG DRUM   |908.00|eposi
part_9|9|thistle dim navajo dark gainsboro|Manufacturer#4           |Brand#43  |SMALL BURNISHED STEEL|12|WRAP CASE |909.00|ironic foxe
part_10|10|linen pink saddle puff powder|Manufacturer#5           |Brand#54  |LARGE BURNISHED STEEL|44|LG CAN    |910.01|ithely final deposit
part_11|11|spring maroon seashell almond orchid|Manufacturer#2           |Brand#25  |STANDARD BURNISHED NICKEL|43|WRAP BOX  |911.01|ng gr
part_12|12|cornflower wheat orange maroon ghost|Manufacturer#3           |Brand#33  |MEDIUM ANODIZED STEEL|25|JUMBO CASE|912.01| quickly
part_13|13|ghost olive orange rosy thistle|Manufacturer#5           |Brand#55  |MEDIUM BURNISHED NICKEL|1|JUMBO PACK|913.01|osits.
part_14|14|khaki seashell rose cornsilk navajo|Manufacturer#1           |Brand#13  |SMALL POLISHED STEEL|28|JUMBO BOX |914.01|kages c
part_15|15|blanched honeydew sky turquoise medium|Manufacturer#1           |Brand#15  |LARGE ANODIZED BRASS|45|LG CASE   |915.01|usual ac
part_16|16|deep sky turquoise drab peach|Manufacturer#3           |Brand#32  |PROMO PLATED TIN|2|MED PACK  |916.01|unts a
part_17|17|indian navy coral pink deep|Manufacturer#4           |Brand#43  |ECONOMY BRUSHED STEEL|16|LG BOX    |917.01| regular accounts
part_18|18|turquoise indian lemon lavender misty|Manufacturer#1           |Brand#11  |SMALL BURNISHED STEEL|42|JUMBO PACK|918.01|s cajole slyly a
part_19|19|chocolate navy tan deep brown|Manufacturer#2           |Brand#23  |SMALL ANODIZED NICKEL|33|WRAP BOX  |919.01| pending acc
part_20|20|ivory navy honeydew sandy midnight|Manufacturer#1           |Brand#12  |LARGE POLISHED NICKEL|48|MED BAG   |920.02|are across the asympt
part_21|21|lemon floral azure frosted lime|Manufacturer#3           |Brand#33  |SMALL BURNISHED TIN|31|MED BAG   |921.02|ss packages. pendin
part_22|22|medium forest blue ghost black|Manufacturer#4           |Brand#43  |PROMO POLISHED BRASS|19|LG DRUM   |922.02| even p
part_23|23|coral lavender seashell rosy burlywood|Manufacturer#3           |Brand#35  |MEDIUM BURNISHED TIN|42|JUMBO JAR |923.02|nic, fina
part_24|24|seashell coral metallic midnight floral|Manufacturer#5           |Brand#52  |MEDIUM PLATED STEEL|20|MED CASE  |924.02| final the
part_25|25|aquamarine steel firebrick light turquoise|Manufacturer#5           |Brand#55  |STANDARD BRUSHED COPPER|3|JUMBO BAG |925.02|requests wake
part_26|26|beige frosted moccasin chocolate snow|Manufacturer#3           |Brand#32  |SMALL BRUSHED STEEL|32|SM CASE   |926.02| instructions i
part_27|27|saddle puff beige linen yellow|Manufacturer#1           |Brand#14  |LARGE ANODIZED TIN|20|MED PKG   |927.02|s wake. ir
part_28|28|navajo yellow drab white misty|Manufacturer#4           |Brand#44  |SMALL PLATED COPPER|19|JUMBO PKG |928.02|x-ray pending, iron
part_29|29|lemon sky grey salmon orchid|Manufacturer#3           |Brand#33  |PROMO PLATED COPPER|7|LG DRUM   |929.02| carefully fluffi
part_30|30|cream misty steel spring medium|Manufacturer#4           |Brand#42  |PROMO ANODIZED TIN|17|LG BOX    |930.03|carefully bus
part_31|31|slate seashell steel medium moccasin|Manufacturer#5           |Brand#53  |STANDARD BRUSHED TIN|10|LG BAG    |931.03|uriously s
part_32|32|sandy wheat coral spring burnished|Manufacturer#4           |Brand#42  |ECONOMY PLATED BRASS|31|LG CASE   |932.03|urts. carefully fin
part_33|33|spring bisque salmon slate pink|Manufacturer#2           |Brand#22  |ECONOMY PLATED NICKEL|16|LG PKG    |933.03|ly eve
part_34|34|khaki steel rose ghost salmon|Manufacturer#1           |Brand#13  |LARGE BRUSHED STEEL|8|JUMBO BOX |934.03|riously ironic
part_35|35|green blush tomato burlywood seashell|Manufacturer#4           |Brand#43  |MEDIUM ANODIZED BRASS|14|JUMBO PACK|935.03|e carefully furi
part_36|36|chiffon tan forest moccasin dark|Manufacturer#2           |Brand#25  |SMALL BURNISHED COPPER|3|JUMBO CAN |936.03|olites o
part_37|37|royal coral orange burnished navajo|Manufacturer#4           |Brand#45  |LARGE POLISHED TIN|48|JUMBO BOX |937.03|silent 
part_38|38|seashell papaya white mint brown|Manufacturer#4           |Brand#43  |ECONOMY ANODIZED BRASS|11|SM JAR    |938.03|structions inte
part_39|39|rose medium floral salmon powder|Manufacturer#5           |Brand#53  |SMALL POLISHED TIN|43|JUMBO JAR |939.03|se slowly above the fl
part_40|40|lemon midnight metallic sienna steel|Manufacturer#2           |Brand#25  |ECONOMY BURNISHED COPPER|27|SM CASE   |940.04|! blithely specia
part_41|41|burlywood goldenrod pink peru sienna|Manufacturer#2           |Brand#23  |ECONOMY ANODIZED TIN|7|WRAP JAR  |941.04|uriously. furiously cl
part_42|42|midnight turquoise lawn beige thistle|Manufacturer#5           |Brand#52  |MEDIUM BURNISHED TIN|45|LG BOX    |942.04|the slow
part_43|43|medium lace midnight royal chartreuse|Manufacturer#4           |Brand#44  |PROMO POLISHED STEEL|5|WRAP CASE |943.04|e slyly along the ir
part_44|44|saddle cream wheat lemon burnished|Manufacturer#4           |Brand#45  |MEDIUM PLATED TIN|48|SM PACK   |944.04|pinto beans. carefully
part_45|45|lawn peru ghost khaki maroon|Manufacturer#4           |Brand#43  |SMALL BRUSHED NICKEL|9|WRAP BAG  |945.04|nts bo
part_46|46|honeydew turquoise aquamarine spring tan|Manufacturer#1           |Brand#11  |STANDARD POLISHED TIN|45|WRAP CASE |946.04|the blithely unusual 
part_47|47|honeydew red azure magenta brown|Manufacturer#4           |Brand#45  |LARGE BURNISHED BRASS|14|JUMBO PACK|947.04| even plate
part_48|48|slate thistle cornsilk pale forest|Manufacturer#5           |Brand#53  |STANDARD BRUSHED STEEL|27|JUMBO CASE|948.04|ng to the depo
part_49|49|light firebrick cyan puff blue|Manufacturer#2           |Brand#24  |SMALL BURNISHED TIN|31|MED DRUM  |949.04|ar pack
