partsupp_rownum|ps_partkey|ps_suppkey|ps_availqty|ps_supplycost|ps_comment
partsupp_17|5|6|3735|255.88|arefully even requests. ironic requests cajole carefully even dolphin
partsupp_172|43|294|6770|493.19|ing to the quickly even theodolites. quickly bold excuses haggle. sometimes unusua
partsupp_585|147|148|7442|939.14|sts against the furiously unusual instructions integrate ironic accounts. slyly final pinto beans sleep blithely carefully final asymptotes. slyly ironic warhorses befor
partsupp_751|188|439|2620|331.70|elets nag slyly regular pinto beans. slyly even dugouts above the blithely unusual theodolites su
partsupp_837|209|960|1513|507.38|fily regular pinto beans? blithely regular dependencies cajole ca
partsupp_1095|274|525|6020|925.95|gage slyly above the carefully ironic theodolites. even accou
partsupp_1227|307|558|4455|578.21|deas. slyly final foxes haggle fluffily furiously bold accoun
partsupp_1426|356|357|5640|659.89| instructions. furiously pending ideas boost above the quickly i
partsupp_1671|417|418|2485|948.27|lithely special packages sleep blithely along the furiously final excuses. regular excuses wake. theodolites 
partsupp_1754|437|938|7237|631.91|uick dependencies boost furiously since the slyly
partsupp_1877|468|719|4819|793.23|s. carefully express packages lose regular foxes. slyly blithe packages det
partsupp_1926|480|981|1163|542.64| excuses wake blithely above the requests. never regular packages according to the blithely bold 
partsupp_2087|520|771|9987|362.52|e carefully above the slyly express requests. furiou
partsupp_2128|530|781|4541|485.13|ly across the express deposits. quickly enticing ideas nag fluffily final multiplie
partsupp_2174|541|292|9694|304.47|ly even pinto beans. carefully final packages according
partsupp_2338|582|83|5652|934.35|ackages. blithely silent accounts are quickly across the slyly final theodolites. f
partsupp_2420|603|604|4867|869.51|ughout the final dolphins. bold dependencies sleep dependencies.
partsupp_2548|635|636|3254|976.72|instructions. blithely enticing packages after the fl
partsupp_2603|648|399|5563|152.51|ing, bold dependencies lose blithely alongside of the
partsupp_2629|655|906|2749|84.00| accounts. bold packages cajole? fluffily final excuses wa
partsupp_2670|665|916|8218|425.20|foxes are along the regular theodolites. slyly final accounts alongside of the pinto 
partsupp_2753|686|687|5026|778.62|efully ironic deposits sleep furiously express tithes. closely fin
partsupp_3042|758|759|4777|607.78|ual packages wake quickly alongside of the bold accounts. furiousl
partsupp_3089|769|270|4774|689.65|t about the furiously final requests. requests cajole carefully ev
partsupp_3122|777|278|8587|198.06|e fluffily regular deposits. final instructions affix. fluffy accou
partsupp_3216|801|802|1441|704.88|s. silent requests nag quickly against the furiou
partsupp_3313|825|76|4002|612.34|nding foxes detect-- even, express platelets haggle. 
partsupp_3421|852|853|544|124.54|ously evenly even requests. furiously ironic deposits wake. regular 
partsupp_3930|977|728|4386|217.11|ackages was slyly sly requests. carefully enticing ti
partsupp_3965|986|487|5236|401.64|ly final somas use blithely at the even pinto beans. quickly even requests pas
partsupp_4171|1037|791|635|101.94|sleep blithely around the slyly ruthless theodolites. carefully brave 
partsupp_4299|7568|83|5116|720.87|o beans affix slyly ironic pinto beans. packages could cajole furiously b
partsupp_4481|1114|868|9729|680.13|ing to the even foxes cajole furiously regular dolphins. pendi
partsupp_4674|1163|164|1919|65.11|into beans integrate! carefully regular packages wake at
partsupp_4986|1240|743|1045|828.94|eep blithely. quickly even packages run. furiously exp
partsupp_5056|1257|11|1194|406.15|ly regular instructions-- carefully pending requests wake
partsupp_5209|1296|297|6112|392.08|slyly final accounts. slyly ironic packages sleep carefully special excuses: fluffily even platelets use blithely a
