row_id,movie_id,person_id,statement_id
cast_0,Q1000210,Q63910,Q1000210-c100872f-486f-b8b8-aa70-1fcf912645ad
cast_1,Q1000210,Q90067,Q1000210-d0173f12-4119-ccc4-a7d8-5a82bfef8e47
cast_2,Q10005695,Q4818791,Q10005695-11395c7c-473c-b7f2-f0fa-d803f153b1ad
cast_3,Q10005695,Q7127782,Q10005695-8b5ee4c8-44ea-408d-a65a-101936db8a78
cast_4,Q10005695,Q7246459,Q10005695-6e544e3e-4f64-6b71-517a-d32f24863ba8
cast_5,Q1000825,Q1041384,q1000825-29C7D566-EF09-48CC-9521-45DE2453175A
cast_6,Q1000825,Q13016199,Q1000825-5DFA70A1-0594-4EC6-BF05-27A4E6309910
cast_7,Q1000825,Q16139733,Q1000825-928E1035-AABC-4A1F-AE1A-EC0950C8D450
cast_8,Q1000825,Q16305292,Q1000825-40A45CC4-ED1E-4F53-9740-3CD2DD797F54
cast_9,Q1000825,Q2370079,q1000825-485889F4-4A8B-4ABD-BA2D-5DAF2EEC29ED
cast_10,Q1000825,Q4272908,q1000825-BB4FBCAE-35B6-4631-8876-02C6436FC56C
cast_11,Q1000825,Q6121318,Q1000825-401615D5-4A2E-429B-BA19-06664AEA9254
cast_12,Q1001400,Q179497,Q1001400-CCF0BB19-AAEF-475B-B3C9-60072A61A29F
cast_13,Q100145860,Q100977051,Q100145860-FF191F9B-8CF1-4C1D-B535-A87E6045127F
cast_14,Q100145860,Q102315179,Q100145860-5469357B-1AD3-4EB8-9F66-CF65242376B9
cast_15,Q100145860,Q102894968,Q100145860-EEDEF8A5-BE14-42D5-A30F-466923C797CF
cast_16,Q100145860,Q104878208,Q100145860-9B9B7CBD-4F30-4798-B55D-78906659196D
cast_17,Q100145860,Q105505929,Q100145860-73BF9283-7AC8-456A-ADE1-A6BC13E0078E
cast_18,Q100145860,Q108289895,Q100145860-36339734-96E9-4295-8C16-1596A5D63636
cast_19,Q100145860,Q10861544,Q100145860-FF531C51-FAAB-488A-96EB-BAB43F34409D
cast_20,Q100145860,Q10861548,Q100145860-719EAF8B-B039-4BA3-AE48-DB44D125C2BE
