row_id,movie_id,person_id,statement_id
directors_0,Q1000210,Q2077488,Q1000210-674369A8-4331-4F85-8AC5-4B74F8449009
directors_1,Q10005695,Q7396742,Q10005695-69d28c2a-4df6-7b9f-2e8a-0ac2ee7cc3fb
directors_2,Q1000825,Q360509,q1000825-604A3A96-9DF0-4AF1-B1EE-9277B4B7CF02
directors_3,Q1001400,Q21104467,Q1001400-a5be7353-48d5-8fdf-891d-2015900ebbdc
directors_4,Q100145860,Q920040,Q100145860-bfbee4cc-4cb4-ff95-3e74-1fcc8843ee07
directors_5,Q100146136,Q99973620,Q100146136-3ea66988-40d8-b2f5-e547-99220d477629
directors_6,Q100148067,Q114917254,Q100148067-225859FB-0C8A-464E-BAE5-82BDF6AA522A
directors_7,Q100148075,Q28973985,Q100148075-56579a28-4738-b9ab-1fdc-b4f2c580979c
directors_8,Q100148079,Q106283255,Q100148079-38E7D89E-35F8-4A1D-A375-23D59C58BEFF
directors_9,Q100148104,Q106265068,Q100148104-011DDF78-8D23-4FEE-9426-03A96AA5DD48
directors_10,Q100156260,Q3756624,Q100156260-8058acf6-45f2-8c31-8ed1-8cddd1b1d300
directors_11,Q1001863,Q377755,q1001863-259D80D1-12C7-46F6-951D-516FE83BB166
directors_12,Q1002100,Q51566,q1002100-7B20B0D6-EDBB-49C7-9DE9-FE019F2B3C2F
directors_13,Q1002251,Q51582,q1002251-4C36E131-FB34-4BA8-8AF7-0CB18A6F2EBD
directors_14,Q100227242,Q970619,Q100227242-BF606491-49FD-4BAA-8CA6-0B9F7FD438F4
directors_15,Q100232971,Q24068624,Q100232971-af397b02-41e8-4091-3f2a-201c53af0ec9
directors_16,Q1002495,Q2297794,Q1002495-0af73443-234e-4175-832d-e824624a929c
directors_17,Q1002495,Q3142408,Q1002495-374F21AF-FBD7-4A21-803C-0FC7D026C40A
directors_18,Q100249779,Q115272101,Q100249779-D295C22D-E7E9-4961-B888-289CF3ED9E3E
directors_19,Q100249839,Q52745846,Q100249839-3B686AF7-CF26-4470-803A-1FBD3A7ED3BD
directors_20,Q100252108,Q10359389,Q100252108-0db77613-4a91-3d9f-d610-c062cefb2c35
directors_21,Q100255139,Q100255155,Q100255139-d41d9ce2-4511-357e-0ecc-43ac6c4866e0
directors_22,Q100255219,Q100255254,Q100255219-f6c9748f-4abf-118e-82ee-b96f7ce49501
directors_23,Q100255627,Q110075942,Q100255627-85ac9de6-48cd-54d3-69ef-7eb127af1136
directors_24,Q100255759,Q42400391,Q100255759-01e7fca6-4a53-4b6e-2cab-e4cbb9a94483
directors_25,Q100257336,Q15064148,Q100257336-68028b30-43b5-4609-bcea-bac06e5d8eca
directors_26,Q100257527,Q5748172,Q100257527-cf16438b-42cc-5e16-863f-68363fca47ff
directors_27,Q100261459,Q115079424,Q100261459-7d54c9ba-4912-cfcb-de09-8ae38fab9dda
directors_28,Q100263944,Q100292024,Q100263944-ae11be4c-4a58-5ca4-ff65-364438bfc6f0
directors_29,Q100265988,Q115298067,Q100265988-dc667650-4de0-aa5a-e66e-0e443c6ad1c4
directors_30,Q100269546,Q3419462,Q100269546-c13be4b2-46ed-87de-b4a4-dddeafd23081
directors_31,Q100271118,Q7238443,Q100271118-5a4e5310-46ea-f2ce-a4ec-175298d171cb
directors_32,Q100275068,Q100274911,Q100275068-32f0ea5b-4d94-6cc7-86de-5593d2262057
directors_33,Q100276888,Q100566035,Q100276888-341D8A96-59B2-452A-9054-3D5D8B60C41C
directors_34,Q100300781,Q22279474,Q100300781-3D33FD30-6E2A-4AC6-B984-AE02D765AE6F
directors_35,Q1003106,Q470104,q1003106-D4301CD1-1AC8-48D8-BAB9-7330A1EEECAB
directors_36,Q1003135,Q113502494,Q1003135-0376988C-D57F-43FB-8590-095568EA17B1
directors_37,Q1003220,Q101068,Q1003220-24BD07A0-E5C2-479B-902F-CF09C86C7106
directors_38,Q100323656,Q66041,Q100323656-a02d3afb-437f-7567-9de9-0a0318834cea
directors_39,Q100324181,Q259940,Q100324181-e714efeb-48b7-a438-3f81-43b39973a742
directors_40,Q1003411,Q109406141,Q1003411-33B9A4C1-1C2C-4026-9C80-B934D484A4C5
directors_41,Q100349419,Q65105,Q100349419-157e6b39-42ab-bd34-e99a-1b7f76dba8cb
directors_42,Q100361125,Q446960,Q100361125-4a03d32e-409f-5848-c71f-3eca93296a41
directors_43,Q100361355,Q6701948,Q100361355-ABDF4DBF-9167-4B18-AFBE-EF01A5EE13D9
directors_44,Q100361490,Q350405,Q100361490-32e7f819-478f-d7b4-5d1c-8c58903e82dc
directors_45,Q10037462,Q10333325,Q10037462-49e6b89c-40f5-f452-6b75-6d7d5746c233
directors_46,Q100376481,Q5214683,Q100376481-ae558ca0-4736-1878-b1b5-44d1db7d7e8c
directors_47,Q100377303,Q18328904,Q100377303-5d65775c-4207-12e9-f16b-04e0401f493e
directors_48,Q1003782,Q5258636,q1003782-63EFB158-D4CD-4560-9FE5-D068076BB558
directors_49,Q1003845,Q267524,q1003845-11E48561-AAAD-4A9C-B995-F589D51127E9
directors_50,Q100398223,Q106594220,Q100398223-4FF728B5-3EBD-4437-8D34-50B94B644D0F
directors_51,Q100401223,Q61110685,Q100401223-1cf342a7-436b-af71-bd27-2b0843661d89
directors_52,Q10041645,Q114012286,Q10041645-92C88BE0-5D25-46DA-ADE6-85B1D7BEFB4E
directors_53,Q10041645,Q123597741,Q10041645-70D71F71-EA61-4F2A-9651-AB500A4ED65F
directors_54,Q10041645,Q76505664,Q10041645-D2FAC03B-C603-4285-B145-FE85A9422680
directors_55,Q100422251,Q13600449,Q100422251-2ad5aea9-41cd-9912-ed13-236b4874cf76
directors_56,Q100422251,Q13600455,Q100422251-2fc3858e-4ae2-c403-d6d1-775d4d39b947
directors_57,Q1004392,Q202597,q1004392-A2344ED6-E95A-4E0A-865C-B2E9D97BD69D
directors_58,Q1004440,Q721446,q1004440-FEA1894A-6804-41BB-999F-60F2D6F57F3B
directors_59,Q100450069,Q1986107,Q100450069-b8ae15c6-49fd-84c2-a476-ddaf63950f7a
directors_60,Q100450102,Q628872,Q100450102-b02dee46-4362-2e9a-cc91-aa171c867cab
directors_61,Q100452749,Q98435110,Q100452749-aad25f87-47e4-bad8-ec55-c7486b449460
directors_62,Q1004657,Q714496,q1004657-A97A1258-07A2-4070-A39F-268A2F598476
directors_63,Q1004710,Q2475993,q1004710-A7C5A777-FDC2-4EE3-A813-37B923874373
directors_64,Q1004801,Q1000860,Q1004801-D1969818-7DCF-426D-8845-65A24A3F9174
directors_65,Q100489991,Q4412743,Q100489991-3ce75edb-4e8b-594d-0402-a2e25e683193
directors_66,Q100490548,Q6608626,Q100490548-964B5F9C-5807-4FE7-ADB4-DDF9768BA3F0
directors_67,Q100506077,Q105581639,Q100506077-7cdeaad4-44e0-4089-6164-77094157ccc1
directors_68,Q100532928,Q4773433,Q100532928-3ce3de6b-4336-0fde-1bc6-87cebd39af9e
directors_69,Q100535001,Q12275124,Q100535001-0F04EB57-935F-4237-B735-3D099C064247
directors_70,Q100535001,Q26906580,Q100535001-0CC4A371-DCF5-464C-9C09-5A55A622B9C4
directors_71,Q1005361,Q17638666,Q1005361-6A1BD421-4F62-4CA3-A19F-BB8924244FDC
directors_72,Q100550091,Q114340485,Q100550091-81F80A2A-F4FA-4FE0-A103-C71D4C2651B4
directors_73,Q100557141,Q3219330,Q100557141-9091BDC2-5609-4551-ADD5-B6BA15F591BD
directors_74,Q100558146,Q15456123,Q100558146-419C8410-1BA0-43BA-A219-AC01064C4817
directors_75,Q100564447,Q88552908,Q100564447-15ADE823-17BF-4DCA-BD95-7E94F4F4C2B2
directors_76,Q100573244,Q3052647,Q100573244-79A40993-B8E1-4229-BF36-3F722DFAF0E7
directors_77,Q100604555,Q19260577,Q100604555-93760FE2-F9DA-40DD-ABAD-091E76ACE817
directors_78,Q100604559,Q22279474,Q100604559-f911aed2-4190-6619-30da-b49fef07be61
directors_79,Q100606376,Q99973620,Q100606376-0a7e6e00-49be-cbf6-4ae3-e961d6993b59
directors_80,Q100613366,Q721429,Q100613366-A4DF47AF-CDAF-4ADE-86BF-1D5385A00FB3
directors_81,Q100683417,Q100589506,Q100683417-d09fdd9a-4d93-38ac-feae-f377fd744fcd
directors_82,Q100693180,Q101444744,Q100693180-539E4114-BED9-4EA5-9DE9-C85351DDE4BB
directors_83,Q100699177,Q107656618,Q100699177-D519FF16-4053-4129-AA08-B2B697C9DBB0
directors_84,Q100699177,Q42393968,Q100699177-870573A6-5EFD-4945-8870-84B1F27EFFE1
directors_85,Q100699493,Q13638906,Q100699493-e9cbc389-4698-3daa-ff76-2d319dc44ef2
directors_86,Q100700071,Q15981681,Q100700071-DBE15C83-53D8-45E5-B62E-F385AFDAE687
directors_87,Q100701374,Q83027896,Q100701374-e93aa96f-4967-7979-fb32-cc810ed1d4b1
directors_88,Q100703600,Q100703722,Q100703600-27d7c541-4b62-79c3-8149-e00c928128dc
directors_89,Q100704907,Q6748387,Q100704907-19ae08ba-41f2-7e0b-bde5-347a839a009a
directors_90,Q100707295,Q84424444,Q100707295-f8175d69-4c27-5b1d-e013-1d181e54998c
directors_91,Q100707365,Q6134858,Q100707365-648f5f0c-42f4-6211-2333-d3c7d5c2b268
directors_92,Q100708744,Q23663310,Q100708744-6866de1a-4898-a592-36b1-80851398c1cb
directors_93,Q100716189,Q1524135,Q100716189-f810e09f-41ee-75d1-3133-c5f58c43cda0
directors_94,Q100718095,Q117863872,Q100718095-426A3BF4-B296-4D59-A3D9-B4B086EF7674
directors_95,Q100718251,Q100717847,Q100718251-E81E7855-CE69-467A-8B2B-F47775BE4B04
directors_96,Q100719246,Q96581188,Q100719246-0DA67D52-D52B-4DD4-9D3B-32A086A318C5
directors_97,Q100719246,Q96581197,Q100719246-0DAC3DD2-F4E2-404B-9314-786909D8843B
directors_98,Q100721048,Q100719476,Q100721048-AC3CE4F7-C4DD-4776-AE6A-BFA077ABCBC7
directors_99,Q100722067,Q3456046,Q100722067-ca118af7-4e2e-a376-63ad-c837f0eedf10
directors_100,Q100724914,Q7334238,Q100724914-6527364a-4b9b-a3ed-c04b-896b7357c76d
