row_id,genre_id,name,description
genres_0,Q102260466,body horror film,horror film subgenre that relies on the destruction or violation of the body for shock effect
genres_1,Q102429885,coming-of-age film,film genre
genres_2,Q102706436,magic realist film,film in which fantastic or mythical elements are included in a narrative that is otherwise realistic
genres_3,Q1033891,martial arts film,subgenre of action films
genres_4,Q104097073,transgender film,film about the transgender experience
genres_5,Q104559206,biographical drama film,film genre
genres_6,Q1047337,genre art,art genre that depicts scenes from everyday life
genres_7,Q10475300,puppet film,live-action or animated film featuring puppets
genres_8,Q104765957,time-travel film,film genre about displacing oneself in time in order to observe the past or the future
genres_9,Q104902646,folk horror film,film genre
genres_10,Q105320349,gay-related film,film genre related to gay men
genres_11,Q1054574,romance film,film genre
genres_12,Q1065444,kaiju,giant movie monster
genres_13,Q10654943,knight film,film genre
genres_14,Q10663882,science fiction horror film,film subgenre
genres_15,Q1067324,exploitation film,"film that exploits current trends, niche genres, or lurid content"
genres_16,Q107397740,supernatural thriller,subgenre of thrillers
genres_17,Q107736421,soundtrack,music genre
genres_18,Q1077883,biopunk,subgenre of science fiction
genres_19,Q1080374,science fantasy,science fiction genre
genres_20,Q108084492,arthouse science fiction film,film genre
genres_21,Q108102008,psychological drama,genre combining drama with psychological elements
genres_22,Q108212954,ice hockey film,type of sports film
genres_23,Q108280930,horror western,fiction genre
genres_24,Q108466999,comedy horror film,film genre
genres_25,Q1092460,surreal humour,form of humour
genres_26,Q109626272,natural horror film,subgenre of horror films that features natural forces
genres_27,Q109629396,psychological horror film,film genre
genres_28,Q109733294,erotic thriller film,film genre
genres_29,Q109733304,psychological thriller film,film genre
genres_30,Q109733333,political thriller film,film genre
genres_31,Q109733358,music-themed film,film genre
genres_32,Q109733630,police procedural film,film genre and theme
genres_33,Q110593123,music documentary film,film genre
genres_34,Q1108032,mumblecore,film subgenre
genres_35,Q110876331,lesbian-related film,film genre related to lesbian
genres_36,Q111278985,American football film,type of sport film
genres_37,Q111279477,athletics film,type of sport film
genres_38,Q111984153,young adult fiction,genre of fiction made to appeal to adolescents and young adults
genres_39,Q112110143,marionette film,film using marionettes
genres_40,Q112633637,environmental film,film genre about environmental topics
genres_41,Q11304653,suspense film,film characterized by suspense
genres_42,Q113485322,crime drama film,film genre
genres_43,Q1135802,art film,film genre
genres_44,Q113930130,biographical sports film,sports-themed biographical film
genres_45,Q11399,rock music,popular music genre
genres_46,Q11417,martial arts,codified systems and traditions of combat practices
genres_47,Q114413232,gothic horror film,film genre
genres_48,Q1146335,teen film,"film genre, the films usually involve adolesent characters and/or made for viewers of the same age"
genres_49,Q115122793,Christian film,film genre
genres_50,Q116456802,war drama,film subgenre
genres_51,Q116513497,period film,film genre
genres_52,Q116514801,historical drama film,film genre
genres_53,Q116918819,Halloween film,film theme
genres_54,Q117536422,romantic drama film,"film genre, where plot usually revolves around an obstacle that prevents deep and true love between two people"
genres_55,Q117830868,sports drama,genre of fiction
genres_56,Q118612349,romantic comedy film,film in the romantic comedy genre
genres_57,Q1190502,surrealist film,film genre
genres_58,Q1194365,pink film,Japanese erotic cinema
genres_59,Q1196408,historical fiction,story that is set in the past; film and literary genre
genres_60,Q1200678,mystery film,sub-genre of the more general category of crime film and at times the thriller genre
genres_61,Q12049743,romantic horror film,
genres_62,Q120706000,speculative fiction comedy,fiction genre
genres_63,Q122150116,military film,films that feature the military lifestyle and loyalty to the armed forces and its codes and are generally set during peacetime.
genres_64,Q122360343,psychological film,"films in which the thoughts, feelings, and motivations of the characters are of equal or greater interest than the external action of the narrative"
genres_65,Q122813146,novellefilm,short fiction film
genres_66,Q123517983,domestic thriller,specific sub-genre of the broad-ranged thriller
genres_67,Q12410174,student film,film created by a student as part of an academic program
genres_68,Q125719481,lesbian pornographic film,genre of pornographic film featuring lesbian characters
genres_69,Q1259759,miniseries,TV shows or series that have a predetermined number of episodes
genres_70,Q126678330,aqua-musical,Hollywood genre of the 1940's and 1950's
genres_71,Q127738900,teen horror film,film genre
genres_72,Q127739154,teen drama film,film genre
genres_73,Q128145358,gay pornographic film,erotic or sexually explicit film featuring gay male characters
genres_74,Q128758,satire,literary and art genre with a style of humor based on parody
genres_75,Q12912091,fiction film,"film that tells a fictional or fictionalized story, event or narrative"
genres_76,Q130130466,sword and sorcery film,film genre
genres_77,Q130232,drama film,film genre
genres_78,Q1321123,plot twist,narrative technique
genres_79,Q132311,fantasy,"genre of speculative fiction set in a fictional universe, often inspired by real world myth and folklore"
genres_80,Q132803402,white savior film,film genre: film in which a white protagonist heroically comes into the picture to the save a person or group of people of color from their plight or struggle
genres_81,Q1339864,sport film,film genre
genres_82,Q1341051,post-apocalyptic film,film genre
genres_83,Q1342372,monster film,film genre
genres_84,Q135332725,medical-themed film,film genre; fiction or nonfiction film that features medical personnel and the practice of medicine
genres_85,Q1361932,family film,film genre; films intended for a family audience of all ages
genres_86,Q1366112,drama television series,television series genre
genres_87,Q1377546,nunsploitation,film genre
genres_88,Q138603203,satirical film,film genre
genres_89,Q138831212,adult animated film,film genre
genres_90,Q139545448,desire horror fiction,subgenre of horror fiction
genres_91,Q139679056,Sinterklaas film,Dutch and Flemish film genre centered on the Sinterklaas tradition
genres_92,Q1433443,sword-and-sandal film,genre of largely Italian-made historical or biblical epic films
genres_93,Q1436734,adventure,exciting or unusual experience
genres_94,Q145806,stand-up comedy,comedy style where the performer addresses the audience directly
genres_95,Q147516,magic realism,style of literary fiction and art
genres_96,Q1494434,whodunit,"complex, plot-driven variety of the detective story in which the audience is given the opportunity to engage in the same process of deduction as the protagonist throughout the investigation of a crime"
genres_97,Q15062348,dystopian fiction,genre of fiction
genres_98,Q15286013,comedy anime and manga,anime and manga genre
genres_99,Q1535153,superhero film,film genre
