row_id,movie_id,country_id,statement_id
movie_countries_0,Q1000210,Q40,Q1000210-B7017442-F86B-421F-ABB0-94B10178AE73
movie_countries_1,Q10005695,Q668,Q10005695-6952ce07-41f0-15f6-94dc-717b461c7440
movie_countries_2,Q1000825,Q869,Q1000825-99C0F931-7E40-41A0-AD3A-D214546283FC
movie_countries_3,Q1001400,Q30,Q1001400-8a5d5df0-47ee-d214-a2db-70f90bfabdee
movie_countries_4,Q100145860,Q213,Q100145860-595DC3D3-509E-476B-A6E0-17524AC1C7A9
movie_countries_5,Q100145860,Q214,Q100145860-E455E2C5-6245-4C40-BEE7-A9E168A20CB9
movie_countries_6,Q100146136,Q30,Q100146136-fcdd1ebe-45bb-97c5-2bbb-3e537c5c68cd
movie_countries_7,Q100148067,Q1033,Q100148067-cbc85ba7-4f7e-fe7f-6b90-788961fc9759
movie_countries_8,Q100148075,Q1033,Q100148075-4950832e-49e4-c78e-dccb-4d9ad4df2f7a
movie_countries_9,Q100148079,Q1033,Q100148079-3023f292-47dd-e7d5-316f-062b7f040931
movie_countries_10,Q100148104,Q1033,Q100148104-9909c595-4b28-97af-ca4f-db8cb23bdbd1
movie_countries_11,Q100156260,Q38,Q100156260-a5047173-46c0-564e-abbe-f14fd51ccb36
movie_countries_12,Q1001863,Q414,Q1001863-E00CCA3C-6785-48AB-93CD-69DD8F19E8AD
movie_countries_13,Q1002100,Q30,Q1002100-8E4EAADF-1BFF-479A-B455-6A94B48D1FC6
movie_countries_14,Q1002100,Q38,Q1002100-B096A875-801C-4FE0-9F4E-87D0B4CFC655
movie_countries_15,Q1002251,Q183,Q1002251-86E4CBC7-413B-47F6-9FB5-2ECBD4B06665
movie_countries_16,Q1002251,Q30,Q1002251-2BAE9A95-A350-4F76-8D2E-8DF6CE91C261
movie_countries_17,Q100227242,Q142,Q100227242-56c64273-4d71-a1f2-bed8-7781e4eabca8
movie_countries_18,Q100227242,Q183,Q100227242-DADC6921-8A9F-4216-8BEB-BFAA1D5C8076
movie_countries_19,Q100227242,Q29,Q100227242-bba0d146-471b-97ab-803d-33adf302d383
movie_countries_20,Q100232971,Q40,Q100232971-f9897d00-4b87-805c-7a3c-29b2ec529a7e
movie_countries_21,Q1002495,Q16,Q1002495-F960FDA1-3DA2-485E-A9FF-93ED40675FDC
movie_countries_22,Q100249779,Q30,Q100249779-ae82d974-4c1f-b56f-fc09-81cd980e872a
movie_countries_23,Q100249839,Q145,Q100249839-02b44b38-47ad-c056-20e0-4442a5c52552
movie_countries_24,Q100252108,Q155,Q100252108-5020ED88-4D3A-42FE-A10E-623AE82D31BC
movie_countries_25,Q100255139,Q1033,Q100255139-6e6f9a6f-40a4-b21c-0b0a-fdd927ffc79f
movie_countries_26,Q100255219,Q1033,Q100255219-c8c598f1-420d-9212-490c-3f04881a5542
movie_countries_27,Q100255627,Q20,Q100255627-d92e967e-4ad2-fd80-37e4-e4681a5bf3ec
movie_countries_28,Q100255627,Q218,Q100255627-2889269e-475e-ba14-4f11-98ca11c57a88
movie_countries_29,Q100255759,Q77,Q100255759-c85eb486-47d7-16ea-b94d-d681a139ba69
movie_countries_30,Q100257336,Q159,Q100257336-8f1accab-4979-8cae-1a4d-041d62cd7524
movie_countries_31,Q100257527,Q34,Q100257527-d803adfc-4d35-ecee-837d-cb368b99446e
movie_countries_32,Q100261459,Q79,Q100261459-bcfceb56-4dd7-2133-d581-9ea41776c946
movie_countries_33,Q100263944,Q16,Q100263944-518f8f6a-4a03-fc0e-27a7-a011eede62a6
movie_countries_34,Q100263944,Q30,Q100263944-79bb99a0-42de-7d78-1877-cc43335a9f1a
movie_countries_35,Q100265988,Q30,Q100265988-f83c8039-41a2-e48f-0267-3372298d5ff2
movie_countries_36,Q100269546,Q142,Q100269546-e603f47d-4210-7230-5e92-34e4af3f5307
movie_countries_37,Q100271118,Q668,Q100271118-03901984-42ec-4d7a-ad7e-3b736f8747a5
movie_countries_38,Q100275068,Q142,Q100275068-f2f3472c-4656-1737-462a-ff2ce9871102
movie_countries_39,Q100276888,Q142,Q100276888-c276529b-4e3e-313a-6304-11bb0d36353e
movie_countries_40,Q100276888,Q31,Q100276888-2b5cade3-4ca5-6a25-9e1b-a61c96fb68e8
movie_countries_41,Q100300781,Q1033,Q100300781-23f91058-4f51-2845-637e-3ee03cbb4e08
movie_countries_42,Q1003106,Q8646,Q1003106-B12BFBF9-CB2E-4225-9044-2D3E0B2894B1
movie_countries_43,Q1003135,Q148,Q1003135-7A19AE07-92C8-4DAC-8BB4-FD40C1F305E8
movie_countries_44,Q1003220,Q183,Q1003220-A46F9287-F2B2-4613-A54A-5533144CBE43
movie_countries_45,Q100323656,Q183,Q100323656-46808A4C-EA62-4492-AD2B-A6DE4F190D75
movie_countries_46,Q100324181,Q142,Q100324181-ad783380-411b-7c29-a361-ad47a3a804f5
movie_countries_47,Q100324181,Q16,Q100324181-fe563de7-4669-7599-295b-de3261dba883
movie_countries_48,Q1003411,Q30,Q1003411-38E10B4B-4A8F-4011-B315-D984D9BE043B
movie_countries_49,Q100349419,Q142,Q100349419-b0438d55-4621-f057-e56c-4728950af778
movie_countries_50,Q100349419,Q183,Q100349419-D9B766AC-9D7D-4EEA-ADD1-41797A18E2A7
movie_countries_51,Q100361125,Q30,Q100361125-6D077A5E-92BB-4A22-B215-1A81CD33C2AC
movie_countries_52,Q100361125,Q408,Q100361125-ba7bd415-4517-74c5-ef63-13b0554ac4a2
movie_countries_53,Q100361355,Q408,Q100361355-8EF327E9-F2E3-4621-AB1D-08AA687A22EA
movie_countries_54,Q100361490,Q30,Q100361490-9d82e642-4d9a-7d4a-5e61-b808a9242e36
movie_countries_55,Q10037462,Q155,Q10037462-68742455-E9FB-4356-AC65-79995D4CA15C
movie_countries_56,Q100376481,Q16,Q100376481-9F33125C-AA93-47D0-84B9-E4AB392B6AED
movie_countries_57,Q100376481,Q258,Q100376481-D5AA01A1-4764-41A3-B462-F5AE34311F9E
movie_countries_58,Q100376481,Q29,Q100376481-D4648682-72DC-4835-919A-5D79107FE329
movie_countries_59,Q100376481,Q30,Q100376481-C1BE0609-4F29-4B65-9612-402FD4FC2E2A
movie_countries_60,Q100376481,Q40,Q100376481-7CCBB3DE-091B-4C8D-A4F2-0ED960DF7D86
movie_countries_61,Q100377303,Q884,Q100377303-46B3C239-7411-41D6-B9C3-0850EAD200B6
movie_countries_62,Q1003782,Q8646,Q1003782-E92A866A-D9B8-45BD-887B-59C511E712AC
movie_countries_63,Q1003845,Q30,Q1003845-D4AB1343-12FF-47DD-A531-0C993CE02707
movie_countries_64,Q100398223,Q30,Q100398223-718df529-4507-4643-1d9f-7e6fbd55d7c3
movie_countries_65,Q100401223,Q191,Q100401223-886dfa84-4ba5-7981-568e-3cf4894e4670
movie_countries_66,Q10041645,Q148,Q10041645-D972FFF0-73AA-4605-8F93-52A644B2F646
movie_countries_67,Q100422251,Q38,Q100422251-da2b0c95-4859-17ad-fac2-9415a65cfc7b
movie_countries_68,Q1004392,Q148,Q1004392-46409EB9-75F6-48C4-A925-282E492388B1
movie_countries_69,Q1004440,Q30,Q1004440-CDA8BE71-E6AB-4630-AD9A-1F101071B89A
movie_countries_70,Q100450069,Q183,Q100450069-03d1a876-435b-6cf6-d846-f9ddbf4967e4
movie_countries_71,Q100450102,Q1028,Q100450102-339ea41d-431c-a26a-a051-f2060eddf77c
movie_countries_72,Q100450102,Q142,Q100450102-644433e7-4677-a358-4f78-5485f6486426
movie_countries_73,Q100452749,Q30,Q100452749-005311A2-BD85-47BB-8CFA-A774F0A4F26A
movie_countries_74,Q1004657,Q142,Q1004657-3008A70D-3E1A-4B9C-BF36-BC0C30C96588
movie_countries_75,Q1004657,Q30,Q1004657-0D385B9C-8E99-472C-8367-7A2527531E4A
movie_countries_76,Q1004710,Q145,Q1004710-7C69C59F-97AB-4EBB-8E3B-AAA0419FE2FE
movie_countries_77,Q1004710,Q16,Q1004710-34C36F5F-8FD3-42B1-87EC-31D94A44BDB0
movie_countries_78,Q1004801,Q159,Q1004801-79A6E1B3-3366-4A59-926F-AEBDF9833149
movie_countries_79,Q100489991,Q159,Q100489991-83c85b7a-4795-7dba-3b78-aead296cc3d6
movie_countries_80,Q100490548,Q189,Q100490548-75592348-7700-42D1-A9E7-8358CAF30FD2
movie_countries_81,Q100490548,Q219060,Q100490548-2E28F1A9-08ED-4105-A8D3-B52FFF0E2E40
movie_countries_82,Q100490548,Q32,Q100490548-498E00FC-CA5F-48D2-A124-E792C96F7D6C
movie_countries_83,Q100506077,Q155,Q100506077-8e7b8110-4236-3bf4-1000-b2b2aafb9220
movie_countries_84,Q100532928,Q16,Q100532928-fd524db8-42dd-552d-4fdf-99d5c449f057
movie_countries_85,Q100535001,Q142,Q100535001-DEDCE37A-FA0B-4193-9D2C-D136F009176D
movie_countries_86,Q100535001,Q145,Q100535001-D1A4C7C6-27A7-4626-9BEA-5A315DB363FA
movie_countries_87,Q100535001,Q219,Q100535001-C3D06B72-BF92-4FB3-8DF0-DF5EFB002CE6
movie_countries_88,Q1005361,Q17,Q1005361-EEF2EB9B-8322-42DA-885C-BCF65E62302E
movie_countries_89,Q100550091,Q30,Q100550091-6080fb93-48ed-4034-9706-a927e86a7763
movie_countries_90,Q100557141,Q142,Q100557141-735f625f-4a5d-e342-0497-a360f06fcdda
movie_countries_91,Q100557141,Q183,Q100557141-40e6eff6-4ea8-f01e-becb-0fe5e8260887
movie_countries_92,Q100557141,Q27,Q100557141-2e878e1a-457d-3666-b687-69ad1cbca79e
movie_countries_93,Q100558146,Q142,Q100558146-192B4E63-C3E6-4AD8-8D75-C154128EBD5C
movie_countries_94,Q100558146,Q189,Q100558146-4551C60A-74BE-4F83-9BD4-78BD319754C2
movie_countries_95,Q100564447,Q183,Q100564447-EE542F1A-ABEB-4906-BCD6-2A663B8184D5
movie_countries_96,Q100564447,Q211,Q100564447-702F4BAB-93E8-4A49-A949-1FCFC7B23D65
movie_countries_97,Q100564447,Q37,Q100564447-79B8A3B6-983E-43BE-AD1B-E1A558DAAE54
movie_countries_98,Q100564447,Q41,Q100564447-F57DDFD2-FA5C-4C79-B84B-31870ED4D8EC
movie_countries_99,Q100573244,Q142,Q100573244-22185617-7FD7-4A1A-B51D-C67056C77BC0
movie_countries_100,Q100604555,Q34,Q100604555-2D963FAB-DBC3-47F4-A7FA-5BDC3B5A6948
movie_countries_101,Q100604559,Q1033,Q100604559-89778db1-4761-7bb3-2356-afbf775ccc76
movie_countries_102,Q100606376,Q30,Q100606376-d08aaf1e-40a8-03af-cacf-22e9c87b851c
movie_countries_103,Q100613366,Q145,Q100613366-22AA36B7-5774-4C4C-AF03-E6B55CF91850
movie_countries_104,Q100683417,Q884,Q100683417-22f62064-46a5-10f7-d0ea-f7af63594855
movie_countries_105,Q100693180,Q1028,Q100693180-76823DFD-8C07-4A76-8338-33146026493C
movie_countries_106,Q100699177,Q34,Q100699177-A5437F8D-AF2F-47B1-9BF7-0380952833E0
movie_countries_107,Q100699493,Q183,Q100699493-A8911CDC-9F40-4A51-ADB9-3428309AABD1
movie_countries_108,Q100700071,Q1033,Q100700071-727e76ff-4980-b39b-20d2-cc3492dca7e5
movie_countries_109,Q100701374,Q30,Q100701374-a732ce29-4072-d7d2-5c3c-d49f3ae609b3
movie_countries_110,Q100703600,Q664,Q100703600-72459BD5-1346-4DCA-989A-9B11BA4582B2
movie_countries_111,Q100704907,Q668,Q100704907-d51c96dd-4e3b-4225-cbea-b369e5f14992
movie_countries_112,Q100707295,Q142,Q100707295-a27f51ff-4dd8-b20e-f064-a17d5970f0ce
movie_countries_113,Q100707365,Q8646,Q100707365-7ff1c6f3-44e5-4d14-7a6a-b161cea6d78d
movie_countries_114,Q100708744,Q29,Q100708744-8e19ca45-4c69-d9c4-33ac-7da5d0bf8a4e
movie_countries_115,Q100716189,Q39,Q100716189-63c306ff-4185-1459-0413-cc7a0d6ab01f
movie_countries_116,Q100718095,Q30,Q100718095-64a7a8bd-4c0f-e3ed-afb9-73076a35221f
movie_countries_117,Q100718251,Q225,Q100718251-D3C2E1F6-F95E-464E-BF88-637A972F14B3
movie_countries_118,Q100719246,Q142,Q100719246-54A374E5-813D-4200-8862-DE6D3CA30EAD
movie_countries_119,Q100721048,Q37,Q100721048-58E1527A-3DE0-4630-B1A3-EA23424E6B11
movie_countries_120,Q100722067,Q142,Q100722067-56f36eb3-4c47-e996-be37-fa44674c1774
movie_countries_121,Q100724914,Q30,Q100724914-3511cba9-4f2f-c42a-d6e7-8a3e9e5ae15f
movie_countries_122,Q100724914,Q33,Q100724914-778db1d8-461e-0877-c91f-d236bded9c09
movie_countries_123,Q100736066,Q145,Q100736066-d97c4b64-4b93-6c1a-db4a-712489b5ebbf
