row_id,movie_id,genre_id,statement_id
movie_genres_0,Q1000210,Q2484376,Q1000210-F13A3A31-1C3C-4047-A568-1ACB43EB9CEF
movie_genres_1,Q10005695,Q130232,Q10005695-e5be185c-44d0-4a10-84f8-a0eba3c2f7e9
movie_genres_2,Q1000825,Q20442589,Q1000825-39B22C42-A23E-461F-934C-5F1B8AA8B69A
movie_genres_3,Q1001400,Q1935609,Q1001400-4f8c0ed1-478b-e3a5-1553-7e79677f1ece
movie_genres_4,Q1001400,Q93204,Q1001400-a6f2d2cf-45b3-ef9b-254b-f144cabf3999
movie_genres_5,Q100145860,Q157443,Q100145860-4CD84359-BDF4-47F8-A7B0-CA6E50DE50E2
movie_genres_6,Q100146136,Q157443,Q100146136-098b0be4-45fe-cd8a-3674-db6e1eda8196
movie_genres_7,Q100148067,Q959790,Q100148067-76bfe70b-4284-be85-0484-e03fbff41285
movie_genres_8,Q100148075,Q157443,Q100148075-7e31fb9a-42ee-ac92-1608-40f757878209
movie_genres_9,Q100148079,Q118612349,Q100148079-FC82A1B0-5292-459D-84B2-E9A2E206903D
movie_genres_10,Q100148104,Q471839,Q100148104-d00a6146-47d0-42e7-5b78-3fc78f353ac5
movie_genres_11,Q100156260,Q130232,Q100156260-8321307c-4311-75d9-f192-c7527848cd7f
movie_genres_12,Q1001863,Q130232,Q1001863-ED21D604-97C1-4797-BD7F-139D25814655
movie_genres_13,Q1001863,Q586250,Q1001863-A6EE6F75-AD14-40ED-BE70-AAE943673FC7
movie_genres_14,Q1002100,Q188473,Q1002100-03DBA5D1-02D4-42C6-8685-80AF2A269C71
movie_genres_15,Q1002100,Q369747,Q1002100-35C6EF60-ED9D-45FD-A188-B4A85571F4D4
movie_genres_16,Q1002100,Q7168625,Q1002100-C9412C17-5F71-480E-B4D9-96B62E1A4FE2
movie_genres_17,Q1002251,Q130232,Q1002251-AADF71CB-915F-402A-8B8A-F0ABD2E85DFE
movie_genres_18,Q1002251,Q200092,Q1002251-1974C0C4-D93A-4DBC-B8FA-D6623F5A8FB4
movie_genres_19,Q1002251,Q2484376,Q1002251-40F15863-5FAE-47C2-B89C-84EBC63AE52C
movie_genres_20,Q1002251,Q590103,Q1002251-341CCD27-6224-45BD-B201-D9F13E1B0A60
movie_genres_21,Q1002251,Q604725,Q1002251-BEA61BAB-034B-4731-8B34-809A1B90BC8A
movie_genres_22,Q100227242,Q130232,Q100227242-c1b948c4-4157-4510-741b-6cf94cb5a279
movie_genres_23,Q100227242,Q2484376,Q100227242-2000701A-B78A-442A-A5DB-59854D738EA0
movie_genres_24,Q100232971,Q130232,Q100232971-179ABAE1-DB46-4698-85A3-6844BFEE92B8
movie_genres_25,Q1002495,Q93204,Q1002495-BCA0F482-A24B-4DFE-B4F3-F3027325D637
movie_genres_26,Q100249779,Q157443,Q100249779-c468ced4-4561-d13a-cc78-a25a67629492
movie_genres_27,Q100249839,Q130232,Q100249839-d8a12204-41d0-26a2-278b-6ffcbd4fc772
movie_genres_28,Q100252108,Q93204,Q100252108-77D39DEF-C7EA-4518-A6C9-A20C8EF8577C
movie_genres_29,Q100255139,Q859369,Q100255139-d8f6136a-489e-a68b-4e21-ff456209ae82
movie_genres_30,Q100255219,Q157443,Q100255219-0c1d819c-45c2-c0ff-3880-031d68bd8e83
movie_genres_31,Q100255627,Q28026639,Q100255627-00c7dd9b-4985-8636-346b-4f611a042830
movie_genres_32,Q100255759,Q859369,Q100255759-b090c44a-45b0-f489-9cc2-231b0a13f759
movie_genres_33,Q100257336,Q2484376,Q100257336-51646e4d-46ab-c387-298a-c42dc2891281
movie_genres_34,Q100257527,Q1054574,Q100257527-059633d9-4e71-a0dc-4b75-c5bdc9f7d418
movie_genres_35,Q100257527,Q130232,Q100257527-de4fc321-47ae-3c5a-4cf5-a3f4146879f3
movie_genres_36,Q100261459,Q11304653,Q100261459-3248cf37-495e-9d48-051f-38846dcd0d50
movie_genres_37,Q100261459,Q2484376,Q100261459-5f0c167f-43dc-c51e-75d6-de24a038dcaf
movie_genres_38,Q100263944,Q185529,Q100263944-e182efb3-48f0-7452-cee1-663f8faf5a8c
movie_genres_39,Q100265988,Q130232,Q100265988-82b51a06-4d76-dc85-5e71-c02a241196f3
movie_genres_40,Q100265988,Q200092,Q100265988-11aebfd9-45b8-882a-e20f-5e9fa4eb3a02
movie_genres_41,Q100265988,Q2484376,Q100265988-567ef7b8-4de1-af2d-0753-852df9334ce6
movie_genres_42,Q100265988,Q471839,Q100265988-4627a7b6-44fe-f67a-3240-a7943d3d7776
movie_genres_43,Q100269546,Q130232,Q100269546-3B1CC89D-E680-46E5-BB5A-364FCEBD99EC
movie_genres_44,Q100271118,Q130232,Q100271118-05b9ac5a-4e6f-dc55-10b0-61712bf89861
movie_genres_45,Q100275068,Q93204,Q100275068-3d8247a2-46bd-b0f3-5fa5-c09367d20a9f
movie_genres_46,Q100276888,Q130232,Q100276888-25f0e6e7-4f8a-ae6f-3a2b-7f3a203a27ac
movie_genres_47,Q100300781,Q130232,Q100300781-13F8F91C-E7CB-4863-9353-766211ECF772
movie_genres_48,Q1003106,Q130232,Q1003106-a6afa939-ba7a-4d2c-a3db-a53dbd90af80
movie_genres_49,Q1003135,Q2484376,Q1003135-79E49614-817F-424F-B99D-F468157D3AA0
movie_genres_50,Q1003220,Q909586,Q1003220-71731957-44c4-4d25-ad3c-0b6fb68554e4
