row_id,movie_id,title,description,release_date,duration
movies_0,Q1000210,Untersuchung an Mädeln,1999 film by Peter Payer,2001-04-05T00:00:00Z,
movies_1,Q10005695,Happy Journey,2014 Marathi film directed by Sachin Kundalkar,2014-11-28T00:00:00Z,130.0
movies_2,Q1000825,Jan Dara,2001 Thai film directed by Nonzee Nimibutr,2001-09-12T00:00:00Z,108.0
movies_3,Q1001400,Ukraine on Fire,documentary propaganda film directed by Igor Lopatonok (2016),2016-01-01T00:00:00Z,94.0
movies_4,Q100145860,The Man with Hare Ears,film by Martin Šulík,2021-08-12T00:00:00Z,104.0
movies_5,Q100146136,EuroClub,2016 comedy film,2016-01-01T00:00:00Z,93.0
movies_6,Q100148067,Coming from Insanity,2019 Nigerian film,2019-06-14T00:00:00Z,100.0
movies_7,Q100148075,Kasala,2018 Nigerian comedy film,2018-10-12T00:00:00Z,
movies_8,Q100148079,Couple of Days,2017 Nigerian Romantic comedy film,2016-02-05T00:00:00Z,
movies_9,Q100148104,Ratnik,2020 Nigerian film directed by Dimeji Ajibola,2020-12-01T00:00:00Z,
movies_10,Q100156260,Freaks Out,2021 film directed by Gabriele Mainetti,2021-09-08T00:00:00Z,141.0
movies_11,Q1001863,Chronicle of an Escape,2005 film by Adrián Caetano,2005-01-01T00:00:00Z,103.0
movies_12,Q1002100,Miracle at St. Anna,2008 film directed by Spike Lee,2008-09-07T00:00:00Z,160.0
movies_13,Q1002251,Bug,2006 film directed by William Friedkin,2006-01-01T00:00:00Z,101.0
movies_14,Q100227242,A Perfect Enemy,2020 film directed by Kike Maíllo,2020-10-16T00:00:00Z,90.0
movies_15,Q100232971,What We Wanted,2020 film by Ulrike Kofler,2020-11-06T00:00:00Z,93.0
movies_16,Q1002495,What Remains of Us,2004 film by Hugo Latulippe,2004-01-01T00:00:00Z,
movies_17,Q100249779,What Happened Last Night,2016 film directed by Candice Cain,2016-01-01T00:00:00Z,
movies_18,Q100249839,Mothering Sunday,2021 film directed by Eva Husson,2021-07-09T00:00:00Z,104.0
movies_19,Q100252108,Narcissus Off Duty,2020 Brazilian documentary,2020-09-07T00:00:00Z,84.0
movies_20,Q100255139,Payday,2018 Nigerian film directed by Cheta Chukwu,2018-07-13T00:00:00Z,
movies_21,Q100255219,Lost in London,2017 Nigerian comedy film,2017-06-09T00:00:00Z,
movies_22,Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2019-11-08T00:00:00Z,70.0
movies_23,Q100255759,Alelí,2019 film directed by Leticia Jorge,2020-03-05T00:00:00Z,88.0
movies_24,Q100257336,Deadly Illusions,2020 Russian film,2020-11-19T00:00:00Z,108.0
movies_25,Q100257527,Are We Lost Forever,2020 Swedish film by David Färdmar,2020-01-01T00:00:00Z,104.0
movies_26,Q100261459,ٌThe Black Box,2020 film,2020-10-28T00:00:00Z,90.0
movies_27,Q100263944,Pornstar Athletics 2,2009 film by Bobby Manila,2009-11-25T00:00:00Z,118.0
movies_28,Q100265988,Black Box,2020 film directed by Emmanuel Osei-Kuffour Jr.,2020-10-06T00:00:00Z,101.0
movies_29,Q100269546,Dreamchild,2020 film directed by Raphaël Jacoulot,2020-01-01T00:00:00Z,107.0
movies_30,Q100271118,Kaccha Limbu,2017 film directed by Prasad Oak,2017-08-11T00:00:00Z,
movies_31,Q100275068,Once you know,French documentary movie on climate change released in 2021,2021-09-22T00:00:00Z,104.0
movies_32,Q100276888,Slalom,2020 film by Charlène Favier,2020-08-29T00:00:00Z,92.0
movies_33,Q100300781,BlackRose,2018 Nigerian film directed by Okechukwu Oku,2018-02-28T00:00:00Z,
movies_34,Q1003106,Linger,2008 film by Johnnie To,2008-01-10T00:00:00Z,88.0
movies_35,Q1003135,Dei yuk dai sup gau tsang,2008 film directed by Miu-Suet Lai,2008-01-01T00:00:00Z,96.0
movies_36,Q1003220,Bukarest Fleisch,2007 film by Andy Fetscher,2007-01-01T00:00:00Z,87.0
movies_37,Q100323656,Contra,2021 film directed by Sönke Wortmann,2021-10-28T00:00:00Z,108.0
movies_38,Q100324181,Aline,2020 film directed by Valérie Lemercier,2020-10-04T00:00:00Z,123.0
movies_39,Q1003411,Bukowski: Born into This,2003 American documentary film,2003-01-01T00:00:00Z,113.0
movies_40,Q100349419,Home,2020 film directed by Franka Potente,2020-10-20T00:00:00Z,100.0
movies_41,Q100361125,Furiosa: A Mad Max Saga,2024 film directed by George Miller,2024-05-15T00:00:00Z,148.0
movies_42,Q100361355,I Met a Girl,2020 film directed by Luke Eve,2020-09-11T00:00:00Z,108.0
movies_43,Q100361490,Don't Look Up,2021 film directed by Adam McKay,2021-12-05T00:00:00Z,138.0
movies_44,Q10037462,"Que sera, sera",2002 film by Murilo Salles,2002-01-01T00:00:00Z,90.0
movies_45,Q100376481,On Any Sunday: The Next Chapter,2014 documentary film directed by Dana Brown,2014-01-01T00:00:00Z,90.0
movies_46,Q100377303,Dream,South Korean film by Lee Byeong-heon,2023-04-26T00:00:00Z,125.0
movies_47,Q1003782,Fatal Move,2008 film by Dennis Law,2008-02-07T00:00:00Z,112.0
movies_48,Q1003845,Frequency,2000 film by Gregory Hoblit,2000-01-01T00:00:00Z,118.0
movies_49,Q100398223,Justice,2017 film directed by Richard Gabai,2017-01-01T00:00:00Z,
movies_50,Q100401223,Eia's Christmas at Phantom Owl Farm,2018 film by Anu Aun,2018-11-17T00:00:00Z,90.0
movies_51,Q10041645,On the Mountain of Tai Hang,2005 Chinese film by Chen Jian,2005-08-15T00:00:00Z,117.0
movies_52,Q100422251,Diabolik,2021 film by Manetti Bros.,2021-12-16T00:00:00Z,133.0
movies_53,Q1004392,Forever Enthralled,2008 film by Chen Kaige,2008-12-05T00:00:00Z,150.0
movies_54,Q1004440,Kill the Irishman,2011 film directed by Jonathan Hensleigh,2011-03-11T00:00:00Z,106.0
movies_55,Q100450069,Ich. Immendorff,2007 documentary film by Nicola Graef,2007-01-01T00:00:00Z,98.0
movies_56,Q100450102,Mica,2020 Moroccan film,2020-01-01T00:00:00Z,103.0
movies_57,Q100452749,My First Film,2024 film by Zia Anger,2024-03-19T00:00:00Z,100.0
movies_58,Q1004657,Bully,2001 film directed by Larry Clark,2001-06-15T00:00:00Z,113.0
movies_59,Q1004710,The River King,2005 film by Nick Willing,2005-01-01T00:00:00Z,99.0
movies_60,Q1004801,Bumer,2003 Crime drama film directed by Pyotr Buslov,2003-08-02T00:00:00Z,110.0
movies_61,Q100489991,Deeper!,2020 film directed by Mikhail Segal,2020-01-01T00:00:00Z,109.0
movies_62,Q100490548,Between Heaven and Earth,2019 film by Najwa Najjar,2019-01-01T00:00:00Z,92.0
movies_63,Q100506077,Dry Wind,2020 film directed by Daniel Nolasco,2020-02-26T00:00:00Z,110.0
movies_64,Q100532928,Come True,2020 film directed by Anthony Scott Burns,2020-01-01T00:00:00Z,105.0
movies_65,Q100535001,Cat in the Wall,2019 film by Vesela Kazakova and Mina Mileva,2019-01-01T00:00:00Z,92.0
movies_66,Q1005361,A Tale of Mari and Three Puppies,2007 film,2007-01-01T00:00:00Z,124.0
movies_67,Q100550091,Home,2008 film directed by Mary Haverstick,2008-01-01T00:00:00Z,
movies_68,Q100557141,About Joan,2022 film by Laurent Larivière,2022-02-15T00:00:00Z,101.0
