row_id,person_id,name,description,birth_date
people_0,Q10000101,Eliška Hladilová,Czech actress,1993-01-23T00:00:00Z
people_1,Q100028,Jörg Hube,German actor and director (1943–2009),1943-11-22T00:00:00Z
people_2,Q1000408,Larry Augustin,CEO of SugarCRM and co-founder and former chairman of VA Software,1962-10-10T00:00:00Z
people_3,Q1000631,Steffen Gräbner,German actor,1957-12-21T00:00:00Z
people_4,Q1000860,Pyotr Buslov,Russian film director,1976-06-01T00:00:00Z
people_5,Q1000912,Piotr Trzaskalski,Polish film director and screenwriter (born 1964),1964-02-05T00:00:00Z
people_6,Q1000990,Béla Fesztbaum,Hungarian actor,1975-01-06T00:00:00Z
people_7,Q1001,Mahatma Gandhi,Indian independence activist (1869–1948),1869-10-02T00:00:00Z
people_8,Q1001195,Buddy Giovinazzo,American filmmaker and author,1957-05-05T00:00:00Z
people_9,Q1001304,Florian Fitz,German actor,1967-11-16T00:00:00Z
people_10,Q100137671,Fotinì Peluso,Italian actress,1999-01-01T00:00:00Z
people_11,Q100144745,Priya Blackburn,actress,1995-10-12T00:00:00Z
people_12,Q100146519,Katung Aduwak,"Nigerian film producer, director, screenwriter",1980-03-21T00:00:00Z
people_13,Q100148219,Jeanté Godlock,American actress,1988-04-24T00:00:00Z
people_14,Q100153071,Ciara Charteris,Rwandan actress,1995-08-03T00:00:00Z
people_15,Q100156263,Giancarlo Martini,Italian actor,1963-10-14T00:00:00Z
people_16,Q100156267,Aurora Giovinazzo,Italian actress (born 2002),2002-04-18T00:00:00Z
people_17,Q100194041,Jordan Firstman,American writer and comedian (born 1991),1991-07-08T00:00:00Z
people_18,Q100233188,Q100233188,American pornographic actress,1972-01-23T00:00:00Z
people_19,Q100235243,Daniel Wagner,German actor,1980-01-01T00:00:00Z
people_20,Q1002358,Tamás Fodor,Hungarian actor (born 1942),1942-09-03T00:00:00Z
people_21,Q100240,Meral Perin,Turkish-German actress,1965-01-01T00:00:00Z
people_22,Q100249786,Q100249786,American actress,1993-12-20T00:00:00Z
people_23,Q100250472,Aleksandr Khoshabaev,Russian actor,1981-06-27T00:00:00Z
people_24,Q100255155,Cheta Chukwu,Nigerian film director and producer,
people_25,Q100255254,Sunkanmi Adebayo,Nigerian film director and actor,
people_26,Q100255483,Tope Alake,Nigerian film director,
people_27,Q100257530,Christopher Sciueref,British actor,1972-11-17T00:00:00Z
people_28,Q100258658,Ahmad Samir Farag,Egyptian film director,1970-09-27T00:00:00Z
people_29,Q100258703,Akram Farid,Egyptian Film Director,1972-03-06T00:00:00Z
people_30,Q100258801,Heather Johansen,,1989-03-15T00:00:00Z
people_31,Q100262838,Austin Zajur,American actor,1995-08-12T00:00:00Z
people_32,Q100268842,Cody Renee Cameron,"American actress, model, singer and stunt performer",1988-12-02T00:00:00Z
people_33,Q100272989,Lauriane Escaffre,French actress and film director,1978-01-26T00:00:00Z
people_34,Q100274911,Emmanuel Cappellin,,
people_35,Q100276311,Paula Baldini,Argentinian actress,
people_36,Q100278619,Udoka Oyeka,Nigerian-American film director,
people_37,Q100292024,Bobby Manila,pornographic film director and producer,1984-08-11T00:00:00Z
people_38,Q100292044,Kevin James,Australian American pornographic actor,
people_39,Q100292057,Q100292057,American pornographic actor,1978-06-06T00:00:00Z
people_40,Q100292074,Q100292074,American pornographic actor,1987-04-21T00:00:00Z
people_41,Q100293465,Darya Zhovner,Russian actress,1992-09-20T00:00:00Z
people_42,Q100305315,Harold S. Koplewicz,member or fellow of the New York Academy of Medicine,
people_43,Q1003099,Xu Jiao,Chinese actress,1997-08-05T00:00:00Z
people_44,Q100312,Leonard Lansink,German actor,1956-01-07T00:00:00Z
people_45,Q100320767,Xiao-Ying Bai,Taiwanese actress,2007-10-03T00:00:00Z
people_46,Q100323659,Radim Hladík,Czech sound designer,1971-05-15T00:00:00Z
