row_id,person_id,country_id,statement_id
person_citizenships_0,Q10000101,Q213,Q10000101-9480488b-4f5e-92a3-df62-a7c6c530780b
person_citizenships_1,Q100028,Q183,Q100028-B0D05338-579C-4B12-A2A2-A99F4E49950C
person_citizenships_2,Q1000408,Q30,Q1000408-54809C71-BF38-44A0-953F-D3EABEB77C07
person_citizenships_3,Q1000631,Q183,Q1000631-8657FC53-7507-48B2-97D7-578EE3C35BBC
person_citizenships_4,Q1000860,Q159,Q1000860-ad4a74ab-465a-3596-14e8-7a476ac0817b
person_citizenships_5,Q1000912,Q36,Q1000912-69F92B0A-4BE2-4CD8-803D-0F65AFD8E550
person_citizenships_6,Q1000990,Q28,Q1000990-9a70f5a0-4b4e-bb9d-3915-d858d20f21db
person_citizenships_7,Q1001,Q129286,Q1001-f3182ff2-408d-4a27-8932-b3e23cdaf329
person_citizenships_8,Q1001,Q1775277,Q1001-b704f057-4122-3a4f-297b-ba553ae94685
person_citizenships_9,Q1001,Q668,Q1001-1E0886A4-D0E7-4C21-92E8-3D06A16F8097
person_citizenships_10,Q1001195,Q30,q1001195-D2691BC0-C79F-44D3-AEFF-A323BADE507B
person_citizenships_11,Q1001304,Q183,Q1001304-A693D083-E4FD-48A1-A177-1F8C435E8F8D
person_citizenships_12,Q100137671,Q38,Q100137671-dfceb27b-4000-d699-ebbf-0cba07277ad0
person_citizenships_13,Q100144745,Q145,Q100144745-6395f0c9-4062-8896-999f-2b27f5a1dd9e
person_citizenships_14,Q100146519,Q1033,Q100146519-10796db6-4a49-adab-6b70-b84bb814ee81
person_citizenships_15,Q100148219,Q30,Q100148219-690f8e99-41a8-790a-54dc-97f9297c31b9
person_citizenships_16,Q100153071,Q145,Q100153071-5582B1FD-6833-464E-B77F-80D18A1E1102
person_citizenships_17,Q100156263,Q38,Q100156263-32e1d1a9-470e-e7cb-dd55-561933bdd40b
person_citizenships_18,Q100156267,Q38,Q100156267-61eba096-4c8b-bbe7-2946-842ad1495598
person_citizenships_19,Q100194041,Q30,Q100194041-27171c01-442e-a70c-a92a-86dc25a56736
person_citizenships_20,Q100233188,Q30,Q100233188-bfa2034e-465a-342d-a0fa-042e67a6c039
person_citizenships_21,Q100235243,Q183,Q100235243-feb344d9-413d-66cf-5306-698673bc7be2
person_citizenships_22,Q1002358,Q28,Q1002358-122F744C-7E8B-4360-997E-1A9E5A29DBBC
person_citizenships_23,Q100240,Q183,q100240-273F73A1-BDBC-4BC1-9E5E-B748BFB72983
person_citizenships_24,Q100249786,Q30,Q100249786-2d40fab7-45b6-d599-6fd6-9f4284c6fc79
person_citizenships_25,Q100250472,Q159,Q100250472-f0745e7b-4a40-1df8-bc8d-0240bbcd1030
