movie_id,title,description,release_date,duration,year
Q1002100,Miracle at St. Anna,2008 film directed by Spike Lee,2008-09-07T00:00:00Z,160.0,2008
Q1003106,Linger,2008 film by Johnnie To,2008-01-10T00:00:00Z,88.0,2008
Q1003135,Dei yuk dai sup gau tsang,2008 film directed by Miu-Suet Lai,2008-01-01T00:00:00Z,96.0,2008
Q1003782,Fatal Move,2008 film by Dennis Law,2008-02-07T00:00:00Z,112.0,2008
Q1004392,Forever Enthralled,2008 film by Chen Kaige,2008-12-19T00:00:00Z,150.0,2008
Q1004392,Forever Enthralled,2008 film by Chen Kaige,2008-12-05T00:00:00Z,150.0,2008
Q100450069,Ich. Immendorff,2007 documentary film by Nicola Graef,2008-05-22T00:00:00Z,98.0,2008
Q100550091,Home,2008 film directed by Mary Haverstick,2008-01-01T00:00:00Z,,2008
Q100707365,The Luckiest Man,2008 Hong Kong drama,2008-05-29T00:00:00Z,120.0,2008
Q100718095,Ranchero,2008 film directed by Richard Kaponas,2008-01-01T00:00:00Z,,2008
Q1015851,Cicak Man 2: Planet Hitam,2008 film directed by Yusry KRU,2008-12-11T00:00:00Z,999.0,2008
Q1021571,The Stoning of Soraya M.,2008 film by Cyrus Nowrasteh,2008-09-07T00:00:00Z,109.0,2008
Q1024400,CSNY/Déjà Vu,2008 film by Neil Young,2008-07-10T00:00:00Z,96.0,2008
Q1024400,CSNY/Déjà Vu,2008 film by Neil Young,2008-01-01T00:00:00Z,96.0,2008
Q1024660,Cash,2008 film by Éric Besnard,2008-01-01T00:00:00Z,100.0,2008
Q10267445,Dive!!,2008 film by Naoto Kumazawa,2008-01-01T00:00:00Z,115.0,2008
Q10273500,Once Upon a Time in Rio,2008 film by Breno Silveira,2008-07-25T00:00:00Z,117.0,2008
Q1028330,City Without Baseball,2008 Hong Kong film by Lawrence Ah Mon and Scud,2008-03-22T00:00:00Z,100.0,2008
Q10293496,Hace tiempo pasó un forastero,2008 film,2008-01-01T00:00:00Z,20.0,2008
Q1029529,Amusement,2008 film directed by John Simpson,2008-10-09T00:00:00Z,85.0,2008
Q1033191,Death Race,2008 film directed by Paul W. S. Anderson,2008-11-27T00:00:00Z,105.0,2008
Q1033191,Death Race,2008 film directed by Paul W. S. Anderson,2008-01-01T00:00:00Z,105.0,2008
Q10340953,Onde Andará Dulce Veiga?,2008 film by Guilherme de Almeida Prado,2008-06-27T00:00:00Z,135.0,2008
Q10341925,Out of Tune,"2008 film by Walter Lima, Jr.",2008-02-08T00:00:00Z,131.0,2008
Q10350475,Playing with Fire,2008 film by David DeCoteau,2008-01-01T00:00:00Z,,2008
Q10364206,Romance,2008 film by Guel Arraes,2008-11-14T00:00:00Z,,2008
Q1038109,The Way We Are,2008 Hong Kong film directed by Ann Hui,2008-01-01T00:00:00Z,91.0,2008
Q10430864,Blackout,2008 film directed by JP Siili,2008-12-26T00:00:00Z,,2008
Q1044398,Carolina Jones and the Broken Covenant,2008 film by Ethan Kane,2008-01-01T00:00:00Z,101.0,2008
Q1044598,Departures,2008 film directed by Yōjirō Takita,2008-09-13T00:00:00Z,131.0,2008
Q1044598,Departures,2008 film directed by Yōjirō Takita,2008-08-23T00:00:00Z,131.0,2008
Q1046117,Alexander,2008 Russian film directed by Igor Kalyonov,2008-05-01T00:00:00Z,111.0,2008
Q10468689,The Horse Figurine,2008 film by Martin Asphaug,2008-01-01T00:00:00Z,86.0,2008
Q1047623,Casino - No Limit,2008 film by Hervé Bodilis,2008-01-01T00:00:00Z,150.0,2008
Q104816851,Bear Oasis,2008 film directed by Walter Romero,2008-07-22T00:00:00Z,123.0,2008
Q1048202,Cass,2008 film directed by Jon S. Baird,2008-01-01T00:00:00Z,108.0,2008
Q104894791,O zivot,film directed by Milan Šteindler and Marek Dobeš,2008-01-01T00:00:00Z,85.0,2008
Q104895068,"Same to You, Boss!",film directed by Martin Kotík,2008-01-01T00:00:00Z,92.0,2008
Q104895069,English Strawberries,film directed by Vladimír Drha,2008-01-01T00:00:00Z,114.0,2008
Q104895077,The God's Rainbow,film directed by Jiří Svoboda,2008-01-01T00:00:00Z,83.0,2008
Q104895083,V hlavní roli,film directed by Petr Slavík,2008-01-01T00:00:00Z,90.0,2008
Q104895114,Who's Afraid of the Wolf?,film directed by Maria Procházková,2008-01-01T00:00:00Z,90.0,2008
Q104895416,Devatenact klaviru,film directed by Dušan Klein,2008-01-01T00:00:00Z,82.0,2008
Q104895418,O bílé paní,film directed by Martin Dolenský,2008-01-01T00:00:00Z,59.0,2008
Q10495749,Fishy,2008 film by Maria Blom,2008-01-01T00:00:00Z,,2008
Q105011829,3:19,Spanish film directed by Dany Saadia,2008-01-01T00:00:00Z,105.0,2008
Q10505285,The Glass Devil,2008 film,2008-06-11T00:00:00Z,,2008
Q10510527,The Gold Digger,2008 film by Alexander Moberg,2008-01-01T00:00:00Z,87.0,2008
Q10532943,IMurders,2008 film,2008-01-01T00:00:00Z,99.0,2008
Q10537297,Iskariot,2008 film by Miko Lazić,2008-01-01T00:00:00Z,80.0,2008
Q10551780,Kärlek 3000,2008 film by Shahriyar Latifzadeh,2008-01-01T00:00:00Z,90.0,2008
Q10554715,LasseMaja's Detective Agency - The Chameleon Strikes Back,2008 film by Henrik Georgsson,2008-12-19T00:00:00Z,97.0,2008
Q105690239,Uncross the Stars,2008 film by Kenny Golde,2008-01-01T00:00:00Z,95.0,2008
